actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
REHABILITACIÓN DE TAMBORES	Autorizacion para el reciclaje de residuos peligrosos	2004	AVENIDA DE LAS GRANJAS	Atributo no considerado en este año	55885	TEPEXPAN	Atributo no considerado en este año			TALLER DE REHABILITACIÓN DE TAMBORES AMADOR DÍAZ BONIFACIO	MEXICO	"19°36'58"""	TEPEXPAN	"-98°55'59"""	Acolman	AADEA1500211	SN			Atributo no considerado en este año	Servicios de apoyo a los negocios, manejo de residuos peligrosos (no incluye tratamiento) y servicios de remediación	Atributo no considerado en este año	0.0	0.0
GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA).	Galvanoplastia	2004	CALLE 10 A	Atributo no considerado en este año	44440	FERROCARRIL	Atributo no considerado en este año	CALLE 9	CALLE 11	ALVARADO GARCIA JESUS	JALISCO	20.64233	GUADALAJARA	-103.34879	Guadalajara	AAG8A1403911	2083		GUADALAJARA ZONA MIXTA	Atributo no considerado en este año	Quimica	Atributo no considerado en este año	0.0	0.0
FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS.	Fundicion y moldeo de piezas de metales no ferrosos	2004	AVENIDA GUADALUPE	Atributo no considerado en este año	20900	MARAVILLAS	Atributo no considerado en este año	NARANJO	INDEPENDENCIA	ALAN DE AGUASCALIENTES S.A. DE C.V.	AGUASCALIENTES	21.95113	MARAVILLAS	-102.32801	Jesus Maria	AAGND0100511	224			Atributo no considerado en este año	Metalurgica (incluye la siderurgica) 	Atributo no considerado en este año	1961282.0	2710708.0
LAMINACION DE ALUMINIO (INCLUYE FUNDICION EXTRUSION O ESTIRAJE).	Afinacion y laminacion de aluminio	2004	AV. DOS PASANDO POR UN VERIFICENTRO	Atributo no considerado en este año	54900	FRACCIONAMIENTO INDUSTRIAL CARTAGENA	Atributo no considerado en este año	AV. UNO	VIA LOPEZ MATEOS	AZINSA ALUMINIO S.A. DE C.V.	MEXICO	19.64103	TULTITLAN	-99.1526	Tultitlan	AAL7Q1510911	4	4	FRACCIONAMIENTO INDUSTRIAL CARTAGENA	Atributo no considerado en este año	Metalurgica (incluye la siderurgica) 	Atributo no considerado en este año	0.0	0.0
PRODUCCIÓN DE BARILLA	Laminacion secundaria de hierro y acero	2004	SEMINARIO	Atributo no considerado en este año	56560	TLALPIZAHUAC	Atributo no considerado en este año			ACEROS AMERICA S.A. DE C.V.	MEXICO	"0°0'0"""	TLALPIZAHUAC	"0°0'0"""	Ixtapaluca	AAMEA1503911	3			Atributo no considerado en este año	Metalurgica (incluye la siderurgica) 	Atributo no considerado en este año	0.0	0.0
PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN).	Produccion de otras auto partes	2004	COMERCIANTES	Atributo no considerado en este año	36100	PARQUE IND. FIPASI	Atributo no considerado en este año	PASEO INDUSTRIALES		AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V.	GUANAJUATO	20.90493	SILAO	-101.38575	Silao	AAMRP1103711	1300		PARQUE INDUSTRIAL FIPASI	Atributo no considerado en este año	Automotriz 	Atributo no considerado en este año	0.0	0.0
PRODUCCIÓN DE TODO TIPO DE PINTURAS, RECUBRIMIENTOS E IMPERMEABILIZANTES (EXCLUYE PRODUCTO	Produccion de pinturas, recubrimientos e impermeabilizantes	2004	DIEGO DIAZ DE BERLANGA	Atributo no considerado en este año	66480	IND. NOGALAR	Atributo no considerado en este año	AVENIDA DE LA JUVENTUD	CALZADA VIA A MATAMOROS	ACABADOS AUTOMOTRICES S.A. DE C.V.	NUEVO LEON	"25°43'25.27"""	SAN NICOLAS DE LOS GARZA	"100°16'46.10"""	San Nicolas de los Garza	AAU5U1904611	251		FRACCIONAMIENTO INDUSTRIAL NOGALAR	Atributo no considerado en este año	Pinturas y tintas 	Atributo no considerado en este año	0.0	0.0
PRODUCCIÓN DE EXPLOSIVOS (NO INCLUYE FUEGOS ARTIFICIALES).	Produccion de explosivos	2004	DOMICILIO CONOCIDO	Atributo no considerado en este año	35100		Atributo no considerado en este año			AUSTIN BACIS S.A. DE C.V.	DURANGO	25.72484	DINAMITA	-103.63808	Gomez Palacio	ABA621000711			AREA RURAL	Atributo no considerado en este año	Quimica	Atributo no considerado en este año	0.0	0.0
GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA).	Galvanoplastia	2004	Km 16.432 carretera libre Tijuana Ensena	Atributo no considerado en este año	22710	San Antonio de los Buenos	Atributo no considerado en este año	Camino vecinal	Carretera libre Tijuana Ensenada	Aluminio de Baja California SA de CV	BAJA CALIFORNIA	"32°26'55"""	San Antonio de los Buenos	"-117°1'48"""	Tijuana	ABCEA0200411	SNo		Delegación San Antonio de los Buenos	Atributo no considerado en este año	Quimica	Atributo no considerado en este año	0.0	0.0
PRODUCCIÓN DE ACEITES Y GRASAS CUANDO EN SU FABRICACIÓN EXISTE REACCIÓN QUÍMICA O EXTRACCI	Fabricacion de aceites y grasas alimenticias	2004	BLVD. MIGUEL ALEMAN	Atributo no considerado en este año	35000	CENTRO	Atributo no considerado en este año			ADM BIO PRODUCTOS S.A. DE C.V.	DURANGO	25.55178	GOMEZ PALACIO	-103.48431	Gomez Palacio	ABPMC1000711	Km.	11.4		Atributo no considerado en este año	Quimica	Atributo no considerado en este año	0.0	0.0
