actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
Producción, Manufactura y Ensamble de Productos de Interconexion y de todas clases de Arti	Atributo no considerado en este año	2021	Boulevard ANTONIO QUIROGA	91	83210		Fabricación de componentes electrónicos	Atributo no considerado en este año	Atributo no considerado en este año	AMP AMERMEX SA DE CV,AMP	SONORA	"29°5'53"""	Hermosillo	"111°1'24"""	Hermosillo	AAM2603000075	22	 	EL LLANO	334410	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	497722.1676	3218864.3483
MANUFACTURA DE PAQUETE ENERGETICO E  INFLADOR PARA LA  INDUSTRIA  AUTOMOTRIZ	Atributo no considerado en este año	2021	Calle AVENIDA ALCALA S/N , CARRETERA A SAN FERNANDO KM.2	9M	88796	Colonia PARQUE INDUSTRIAL STIVA ALCALA	Fabricación de otras partes para vehículos automotrices	Atributo no considerado en este año	Atributo no considerado en este año	ARC AUTOMOTRIZ DE MEXICO, S. DE R.L. DE C.V.,	TAMAULIPAS	"26°0'21"""	Reynosa	"98°16'3"""	Reynosa	AAM9I2803211	S/N 	 		336390	Automotriz	Produccion de otras auto partes	573281.1746	2876556.8078
COMERCIALIZADORA DE EJES Y AUTOPARTES	Atributo no considerado en este año	2021	Calle AVENIDA DE LOS COMERCIANTES	9M	36100	Colonia PARQUE INDUSTRIAL FIPASI	Fabricación de partes de sistemas de transmisión para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S DE RL DE CV,AMERICAN AXLE & MANUFACTURING DE MEXICO	GUANAJUATO	"20°53'24"""	Silao de la Victoria	"101°21'34"""	Silao	AAM9M1103711	1300	 		336350	Automotriz	Produccion de otras auto partes	254545.9119	2311788.66
FABRICACION Y COMERCIALIZACION DE CERRADURAS	Atributo no considerado en este año	2021	Periférico Anillo Periferico Sur	81	45601	Colonia SANTA MARIA TEQUEPEXPAN	Fabricación de herrajes y cerraduras	Atributo no considerado en este año	Atributo no considerado en este año	ASSA ABLOY OCCIDENTE, SA DE CV,	JALISCO	"20°36'34"""	Tlaquepaque	"103°24'8"""	Tlaquepaque	AAO1409800253	7980	EDIFICIO 2B 		332510	Articulos y productos metalicos	Produccion de cerraduras, candados y llaves	666492.136	2279753.1929
Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. automotriz	Atributo no considerado en este año	2021	Avenida Gomez Morin	KE	66273	Colonia Villas de Aragon	Comercio al por menor de automóviles y camionetas nuevos	Atributo no considerado en este año	Atributo no considerado en este año	ALIANZA AUTOMOTRIZ RIVERO S.A. DE C.V.,RIVERO GOMEZ MORIN	NUEVO LEON	"25°38'46"""	San Pedro Garza García	"100°21'34"""	San Pedro Garza Garcia	AARKE1901911	402	12A 		468111	Otros	Reparacion y mantenimiento automotriz	363513.1086	2837197.5503
Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. Automotriz	Atributo no considerado en este año	2021	Calzada  DEL VALLE	KE	66220	Colonia DEL VALLE	Comercio al por menor de automóviles y camionetas nuevos	Atributo no considerado en este año	Atributo no considerado en este año	ACCESO AUTOMOTRIZ SA DE CV,AUDI CALZADA DEL VALLE	NUEVO LEON	"25°39'21"""	San Pedro Garza García	"100°21'59"""	San Pedro Garza Garcia	AAUEE1901911	340 OTE 	 		468111	Otros	Reparacion y mantenimiento automotriz	362826.2733	2838279.078
FABRICACION DE AUTOMOVILES Y CAMIONETAS	Atributo no considerado en este año	2021	Boulevard Q5	9G	75012		Fabricación de automóviles y camionetas	Atributo no considerado en este año	Atributo no considerado en este año	AUDI MEXICO, S.A DE C.V.,AUDI AUTOMOTIVE	PUEBLA	"19°13'2"""	San José Chiapa	"97°45'8"""	San Jose Chiapa	AAU2112800014	1	 	SAN JOSE  CHIAPA	336110	Automotriz	Produccion de automoviles, camiones, tractocamiones y similares	631151.4602	2125346.2759
Cría y engorda de cerdos y borregos en granja	Atributo no considerado en este año	2021	Carretera KM3+100 DE LA  KINCHIL-CELESTUN	1M	97360	Ninguno NINGUNO	Explotación de porcinos en granja	Atributo no considerado en este año	Atributo no considerado en este año	ADMINISTRACION AGROPECUARIA DE YUCATAN, S.P.R. DE R.L. DE C.V.,GRANJA SANTA MARIA 1	YUCATAN	"20°54'12"""	Kinchil	"89°59'3"""	Kinchil	AAY3104400003	S/N 	 		112211	Alimenticio y/o de consumo humano	Matanza de ganado y aves	189544.4284	2314352.9247
VENTA DE AUTOMÓVILES Y TALLER AUTOMOTRIZ	Atributo no considerado en este año	2021	Calle AV. DE LAS GRANJAS	KE	02530	Colonia BARRIO JAGUEY	Comercio al por menor de automóviles y camionetas nuevos	Atributo no considerado en este año	Atributo no considerado en este año	ANGAR AZCAPOTZALCO S.A. DE C.V.,ANGAR AZCAPOTZALCO	DISTRITO FEDERAL	"19°29'1"""	Azcapotzalco	"99°10'27"""	Azcapotzalco	AAZEE0900211	NO.473 	 		468111	Otros	Reparacion y mantenimiento automotriz	481717.006	2154350.8162
Manufactura y ensamble de lámparas de ornato de base cristal y metal.	Atributo no considerado en este año	2021	Boulevard UNIVERSIDAD	91	22390	Colonia PARQUE INDUSTRIAL INTERNACIONAL TIJUANA	Fabricación de otros productos metálicos	Atributo no considerado en este año	Atributo no considerado en este año	ARTESANIAS BAJA S. DE R.L. DE C.V,	BAJA CALIFORNIA	"32°31'30"""	Tijuana	"116°58'7"""	Tijuana	ABA1V0200411	#12965 	 		332999	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	502927.6403	3598637.5362
PRODUCCIÓN DE FERTILIZANTES QUIMICOS	Atributo no considerado en este año	2021	Calle Sin Numero	5N	60950		Fabricación de fertilizantes	Atributo no considerado en este año	Atributo no considerado en este año	AGROINDUSTRIAS DEL BALSAS S.A. DE C.V.,AGROINDUSTRIAS DEL BALSAS, S.A. DE C.V.	MICHOACAN	"17°55'20"""	Ciudad Lázaro Cárdenas	"102°10'39"""	Lazaro Cardenas	ABA1605200103	SIN NUMERO 	SIN NUMERO 	CENTRO	325310	Quimica	Produccion de fertilizantes quimicos	799017.2929	1983869.6107
FABRICACION DE EXPLOSIVOS	Atributo no considerado en este año	2021	Camino DOM. CONOCIDO, DINAMITA	62	35100	Ejido DINAMITA	Fabricación de explosivos	Atributo no considerado en este año	Atributo no considerado en este año	AUSTIN BACIS S.A. DE C.V.,AUSTIN BACIS	DURANGO	"25°43'6"""	Gómez Palacio	"103°38'46"""	Gomez Palacio	ABA621000711	SN 	 		325920	Quimica	Produccion de explosivos	635820.9142	2845202.2087
Servicios médicos y hospitalarios	Atributo no considerado en este año	2021	Calle CARLOS GRAEF FERANDEZ	HM	05300	Colonia TLAXALA SANTA FE	Hospitales del sector privado de otras especialidades médicas	Atributo no considerado en este año	Atributo no considerado en este año	THE AMERICAN BRITISH COWDRAY MEDICAL CENTER I.A.P.,CENTRO MÉDICO ABC	DISTRITO FEDERAL	"19°21'24"""	Cuajimalpa de Morelos	"99°16'59"""	Cuajimalpa de Morelos	ABCHM0900411	154	 		622311	Servicios de salud y de asistencia	Hospitales	470268.7949	2140333.0675
Servicios médicos y hospitalarios	Atributo no considerado en este año	2021	Calle SUR  136	HM	01120	Colonia LAS AMERICAS	Hospitales generales del sector privado	Atributo no considerado en este año	Atributo no considerado en este año	THE AMERICAN BRITISH COWDRAY MEDICAL CENTER I.A.P.,CENTRO MÉDICO ABC	DISTRITO FEDERAL	"19°24'0"""	Álvaro Obregón	"99°12'15"""	Alvaro Obregon	ABCHM0901021	116	 		622111	Servicios de salud y de asistencia	Hospitales	478549.0421	2145130.6186
INDUSTRIA DEL ALUMINIO	Atributo no considerado en este año	2021	Calle MONFERRATO	7Q	22563	Colonia SAN ANTONIO DE LOS BUENOS	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	ALUMINIO DE BAJA CALIFORNIA SA DE CV,	BAJA CALIFORNIA	"32°25'47"""	Pórticos de San Antonio	"117°2'0"""	Tijuana	ABC8A0200411	6701	 		331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio	496845.0006	3588081.4224
Elaboración de otros alimentos	Atributo no considerado en este año	2021	Calle RET.PABLO NERUDA	1P	31109		Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN BEEF, S.A. DE C.V.,	CHIHUAHUA	"28°43'6"""	Chihuahua	"106°7'37"""	Chihuahua	ABE1Z0801911	107	 	COMPLEJO INDUSTRIAL CHIHUAHUA	311613	Alimenticio y/o de consumo humano	Produccion de embutidos y conservas de carnes	389917.4402	3177305.1613
PRODUCCIÓN DE PIGMENTOS Y COLORANTES 	Atributo no considerado en este año	2021	Carretera Autopista 45 Querétaro-Irapuato 	5J	38180		Fabricación de pigmentos y colorantes sintéticos	Atributo no considerado en este año	Atributo no considerado en este año	ALCOSA BIOTEC SA DE CV,	GUANAJUATO	"20°32'42"""	Apaseo el Grande	"100°44'10"""	Apaseo el Grande	ABI5J1100511	KM.36 sin numero	 	APASEO EL GRANDE GUANAJUATO 	325130	Quimica	Produccion de colorantes y pigmentos	319004.7963	2272758.5099
FABRICACIÓN DE OTROS PRODUCTOS DE HIERRO Y ACERO DE MATERIAL COMPRADO	Atributo no considerado en este año	2021	Calle SEPTIMA AVENIDA	7I	66603		Fabricación de otros productos de hierro y acero	Atributo no considerado en este año	Atributo no considerado en este año	ABINSA S.A. DE C.V.,ABINSA S.A DE C.V. AB STEEL PLANTA PUEBLO NUEVO	NUEVO LEON	"25°46'0"""	Ciudad Apodaca	"100°9'18"""	Apodaca	ABI861900611	150	 	PARQUE INDUSTRIAL MONTERREY	331220	Metalurgica (incluye la siderurgica)	Laminacion secundaria de hierro y acero	384165.297	2850372.0293
FABRICACIÓN DE OTROS PRODUCTOS METÁLICOS	Atributo no considerado en este año	2021	Calle LOTE 23 DE LA  CARRUSEL DOS	9M	78395	Colonia ZONA INDUSTRIAL	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	AUTOMOTIVE BEND DE MEXICO, S. DE R.L. DE C.V.,BEND ALL	SAN LUIS POTOSI	"21°59'44"""	La Pila	"100°51'33"""	San Luis Potosi	ABM7U2402811	118	 		331310	Automotriz	Produccion de otras auto partes	308062.7422	2433508.1608
PRODUCCION DE ACEITE Y GRASAS VEGETALES	Atributo no considerado en este año	2021	Boulevard BLVD. MIGUEL ALEMAN	MC	35000	Ciudad ZONA CENTRO	Elaboración de aceites y grasas vegetales comestibles	Atributo no considerado en este año	Atributo no considerado en este año	ADM BIO PRODUCTOS, S.A. DE C.V.,ADM BIO PRODUCTOS, S.A DE C.V.	DURANGO	"25°33'13"""	Gómez Palacio	"103°28'58"""	Gomez Palacio	ABPMC1000711	SN KM 11.40	 		311222	Quimica	Fabricacion de aceites y grasas alimenticias	652397.6267	2827132.419
PRODUCCIÓN DE LEVADURA PARA PANIFICACIÓN	Atributo no considerado en este año	2021	Carretera  CARR. FEDERAL IZUCAR -ATENCINGO 	2A	74590	Colonia ATZALA	Elaboración de levadura	Atributo no considerado en este año	Atributo no considerado en este año	AB CALSA S.A. DE C.V.,	PUEBLA	"18°32'39"""	Atzala	"98°33'11"""	Atzala	ACABF2102111	S/N 	 		311992	Alimenticio y/o de consumo humano	Panaderias	547151.5808	2050450.2697
VENTA DE AUTOMOVILES Y REFACCIONES Y SERVICIO DE MANTTO. AUTOMOTRIZ	Atributo no considerado en este año	2021	Calle ALFONSO  REYES	EE	64500	Colonia DEL NORTE	Reparación mecánica en general de automóviles y camiones	Atributo no considerado en este año	Atributo no considerado en este año	AUTOMOVILES Y CAMIONES, S.A. DE C.V.,	NUEVO LEON	"25°42'29"""	Monterrey	"100°18'48"""	Monterrey	ACAKE1903911	3635	 		811111	Otros	Centros distribuidores de autotransportes 	368207.251	2844010.8106
ADMINISTRACIÓN DE AEROPUERTOS Y HELIPUERTOS	Atributo no considerado en este año	2021	Carretera  CANCUN CHETUMAL	L7	77569	Colonia AEROPUERTO CANCUN (INTERNACIONAL DE CANCUN)	Administración de aeropuertos y helipuertos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE CANCUN SA DE CV,AEROPUERTO DE CANCUN SA DE CV	QUINTANA ROO	"21°2'24"""	Cancún	"86°52'21"""	Benito Juarez	ACARP2300511	KM 22 	 		488112	Otros	Servicios de administracion de aeropuertos y helipuertos	513223.3439	2326600.0324
PRODUCCIÓN DE LEVADURA PARA PANIFICACIÓN	Atributo no considerado en este año	2021	Carretera  LA TINAJA-CORDOBA	2A	94910	Rancho El limón	Panificación industrial	Atributo no considerado en este año	Atributo no considerado en este año	AB CALSA S.A. DE C.V.,	VERACRUZ	"18°44'36"""	Cuitláhuac	"96°33'20"""	Cuitlahuac	ACAS73005311	KM 49 	 		311811	Alimenticio y/o de consumo humano	Panaderias	757728.3899	2074201.9749
Comercio de automoviles y camionetas nuevas, mantenimiento , refaccciones 	Atributo no considerado en este año	2021	Boulevard LUIS DONALDO COLOSIO, LOTE 1 MZA 5 SUPERMANZANA 310	KE	77500	Supermanzana SUPERMANZANA 310	Comercio al por menor de automóviles y camionetas nuevos	Atributo no considerado en este año	Atributo no considerado en este año	MAYA MOTRIZ, S.A DE C.V,NISSAN CANCUN	QUINTANA ROO	"21°6'29"""	Cancún	"86°50'23"""	Benito Juarez	ACA2300500033	SMZA 310 MZA 5 LOTE 1 	 		468111	Otros	Reparacion y mantenimiento automotriz	516628.5616	2334117.9359
Comercio de Automóviles y Camionetas nuevas, Mantenimiento, Refacciones , Accesorios	Atributo no considerado en este año	2021	Avenida CIRCUITO COLONIAS 	KE	97210	Fraccionamiento PEDREGALES DE TANLUM	Comercio al por menor de automóviles y camionetas nuevos	Atributo no considerado en este año	Atributo no considerado en este año	MAYA MOTRIZ, S.A DE C.V,NISSAN CIRCUITO	YUCATAN	"20°59'52"""	Mérida	"89°37'37"""	Merida	ACA3105000082	S/N 	 		468111	Otros	Reparacion y mantenimiento automotriz	226896.3504	2324151.776
EXPLOTACION DE PORCINOS EN GRANJA	Atributo no considerado en este año	2021	Carretera 300 M AL ESTE	1M	97334	Pueblo SAN IGNACIO	Explotación de porcinos en granja	Atributo no considerado en este año	Atributo no considerado en este año	AGROPORCINA LA CANDELARIA, S.P.R. DE R.L. DE C.V.,LA CANDELARIA	YUCATAN	"21°10'27"""	Progreso	"89°38'44"""	Progreso	ACA3105900068	KM 23 	S/N 		112211	Alimenticio y/o de consumo humano	Matanza de ganado y aves	225281.0128	2343735.7783
ADMINISTRACIÓN DE RÉGIMEN DE PROPIEDAD EN CONDOMINIO	Atributo no considerado en este año	2021	Calle BLVD. COSTERO	S7	63732	Colonia CONDOMINIO MAESTRO LOS FLAMINGOS	Otros servicios profesionales, científicos y técnicos	Atributo no considerado en este año	Atributo no considerado en este año	ASOCIACIÓN DE CONDÓMINOS DEL CONDOMINIO MAESTRO LOS FLAMINGOS, A.C.,CONDOMINIO MAESTRO LOS FLAMINGOS	NAYARIT	"20°44'18"""	Bucerías	"105°19'4"""	Bahia de Banderas	ACCUB1802011	900 SUR 	 		541990	Otros	Plantas de tratamiento de aguas residuales	466905.2366	2293223.288
FABRICACION DE MUEBLES PARA BAÑO	Atributo no considerado en este año	2021	Calle KM.14.8 CARRETERA VIA CORTA PUEBLA SANTA	6S	90870	Colonia CORREDOR INDUSTRIAL MALINTZI	Fabricación de muebles de baño	Atributo no considerado en este año	Atributo no considerado en este año	ALPHA CERAMICA S.A.P.I DE C.V.,ALPHA CERAMICA, S.A.P.I. DE C.V.	TLAXCALA	"19°10'59"""	Mazatecochco	"98°11'0"""	Mazatecochco de Jose Maria Morelos	ACE6S2901711	S/N 	 		327112	Cemento y Cal	Produccion de muebles ceramicos	585854.6461	2121310.4465
LAMINACIÓN PRIMARIA DE HIERRO Y ACERO (INCLUYE FERROALEACIONES, ACEROS COMUNES Y ESPECIALE	Atributo no considerado en este año	2021	Calle CARRET.PANAMERICANA KM.7.5	7I	38260	Colonia RANCHO EL CHINACO	Minería de hierro	Atributo no considerado en este año	Atributo no considerado en este año	ARCELORMITTAL CELAYA SA DE CV,ARCELORMITTAL CELAYA ACEROS LARGOS	GUANAJUATO	"20°31'7"""	Villagrán	"100°55'2"""	Villagran	ACE7F1104411	S/N 	 		212210	Metalurgica (incluye la siderurgica)	Laminacion secundaria de hierro y acero	300061.2499	2270058.2836
FUNDICION Y MOLDEO DE PIEZAS DE HIERRO Y ACERO	Atributo no considerado en este año	2021	Calle CAMINO A SAN PEDRO AHUACATLAN	7T	76803		Moldeo por fundición de piezas de hierro y acero	Atributo no considerado en este año	Atributo no considerado en este año	ACERLAN MATRIX METALS S.A. DE C.V.,ACERLAN MATRIX METALS S.A. DE C.V.	QUERETARO	"20°25'15"""	San Juan del Río	"99°58'49"""	San Juan del Rio	ACE7T2201611	3	 	Valle de Oro	331510	Metalurgica (incluye la siderurgica)	Fundicion  y moldeo de piezas de hierro y acero	397704.4675	2258374.7802
Fabricación de arneses automotrices	Atributo no considerado en este año	2021	Boulevard Macario Gaxiola	9M	81285		Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	ALAMBRADOS Y CIRCUITOS ELÉCTRICOS, S. DE R.L. DE C.V., PLANTA VII	SINALOA	"25°46'29"""	Los Mochis	"108°59'14"""	Ahome	ACE8V2500111	1001 Sur	 	Raúl Romanillo	336320	Automotriz	Produccion de otras auto partes	701835.0965	2852299.5783
Administración de Aeropuertos y Helipuertos 	Atributo no considerado en este año	2021	Boulevard JUAN PABLO II KM. 14	L7	31390	Colonia AEROPUERTO	Administración de aeropuertos y helipuertos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE CHIHUAHUA S.A DE C.V,AEROPUERTO DE CHIHUAHUA	CHIHUAHUA	"28°42'8"""	Chihuahua	"105°57'47"""	Chihuahua	ACIRP0801911	S/N 	 		488112	Otros	Servicios de administracion de aeropuertos y helipuertos	405924.9234	3175401.9614
PRODUCCION Y DISTRIBUCION DE PRODUCTOS COSMETICOS	Atributo no considerado en este año	2021	Calle GERRERO	N6	38090	Colonia RANCHO SECO	Fabricación de cosméticos, perfumes y otras preparaciones de tocador	Atributo no considerado en este año	Atributo no considerado en este año	AVON COSMETICS MANUFACTURING  S DE RL DE CV,AVON COSMETICS MANUFACTURING S DE RL DE CV	GUANAJUATO	"20°29'18"""	Celaya	"100°48'4"""	Celaya	ACM3L1100711	149	 		325620	Quimica	Produccion de perfumes, cosmeticos y similares a base de mezclas	312139.2368	2266585.2465
Fundición y Laminación de Hierro y Acero	Atributo no considerado en este año	2021	Avenida LA PRESA	7F	54187	Colonia FRACCIONAMIENTO INDUSTRIAL LA PRESA	Moldeo por fundición de piezas de hierro y acero	Atributo no considerado en este año	Atributo no considerado en este año	ACEROS CORSA S.A. DE C.V.,GERDAU CORSA	MEXICO	"19°31'11"""	Tlalnepantla	"99°7'27"""	Tlalnepantla de Baz	ACO7F1510411	2	 		331510	Metalurgica (incluye la siderurgica)	Laminacion primaria de hierro y acero	486970.3885	2158357.6837
RECUBRIMIENTOS METALICOS GALVANOPLASTIA Y OTROS	Atributo no considerado en este año	2021	Prolongación HERMANOS ESCOBAR	8A	32649		Fabricación de otros productos químicos	Atributo no considerado en este año	Atributo no considerado en este año	ALFA CRONOS, S.A. DE C.V.,	CHIHUAHUA	"31°44'52"""	Juárez	"106°25'5"""	Juarez	ACR7X0803711	7046	8 9 Y 10 	OMEGA	325999	Quimica	Galvanoplastia	365684.4601	3513358.8345
ACABADOS DE SUPERFICIES METÁLICAS	Atributo no considerado en este año	2021	Calle KM. 3  CARR. TECATE-ENSENADA	8A	21482	Colonia MACLOVIO HERRERA	Recubrimientos y terminados metálicos	Atributo no considerado en este año	Atributo no considerado en este año	ACABADOS DE CALIDAD TECATE SA DE CV,ACABADOS DE CALIDAD TECATE, S.A. DE C.V.	BAJA CALIFORNIA	"32°32'53"""	Tecate	"116°37'28"""	Tecate	ACT7X0200311	S/N 	 		332810	Quimica	Galvanoplastia	535245.451	3601273.961
Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. automotriz	Atributo no considerado en este año	2021	Avenida Paseo de los Triunfadores	EE	64610	Colonia Las Cumbres 8vo Sector	Comercio al por menor de automóviles y camionetas nuevos	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPOLIS CUMBRES, S.A. DE C.V.,NISSAN AUTOPOLIS CUMBRES	NUEVO LEON	"25°43'39"""	Monterrey	"100°23'30"""	Monterrey	ACUKE1903911	3231	 		468111	Otros	Centros distribuidores de autotransportes 	360388.4875	2846268.5564
Venta de vehículos y refacciones, servicio de mantto. automotriz, hojalatería y pintura	Atributo no considerado en este año	2021	Boulevard GUSTAVO DIAZ ORDAZ	EE	66100	Colonia LA FAMA	Comercio al por menor de automóviles y camionetas nuevos	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPOLIS CUMBRES, S.A. DE C.V.,NISSAN AUTOPOLIS SANTA CATARINA	NUEVO LEON	"25°40'28"""	Ciudad Santa Catarina	"100°25'41"""	Santa Catarina	ACUKE1904811	150	 		468111	Otros	Centros distribuidores de autotransportes 	356673.6309	2840431.2097
Comercio al por menor de automóviles y camionetas nuevos / servicio de mantto. automotriz	Atributo no considerado en este año	2021	Avenida JOSE ELEUTERIO GONZALEZ	EE	64020	Colonia GONZALITOS	Comercio al por menor de automóviles y camionetas nuevos	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPOLIS CUMBRES, S.A. DE C.V.,AUTOPOLIS NISSAN GONZALITOS	NUEVO LEON	"25°41'5"""	Monterrey	"100°21'4"""	Monterrey	ACU1903900043	655 NTE. 	 		468111	Otros	Centros distribuidores de autotransportes 	364394.9349	2841476.0533
