"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA 
UTM X"	"COORDENADA 
UTM Y"	"LATITUD 
NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AACL71200111"	"AEROPUERTO DE ACAPULCO S.A. DE C.V."	"488112"	"Administración de aeropuertos y helipuertos"	"Otros"	"L7"	"Servicios de administracion de aeropuertos y helipuertos"	"PRESTADOR DE SERVICIOS AEROPORTUARIOS"	"TERRENO CONCESIONADO PARA EXPLOTACIÓN DE SERVICIOS AEROPORTU"	"0"	"0"	"16°45'44"""	"99°45'15"""	"BOULEVARD DE LAS NACIONES SN AMATES"	"SN"		"ACAPULCO"	"ACAPULCO"	"GUERRERO"	"Acapulco de Juarez"	"39931"
"AAG8A1403911"	"JESUS ALVARADO GARCIA"	"332810"	"Recubrimientos y terminados metálicos"	"Quimica"	"8A"	"Galvanoplastia"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."				20.64233	-103.34879	"CALLE 10A"	"2083"		"FERROCARRIL"	"GDL"	"JALISCO"	"Guadalajara"	"44440"
"AAGL70100111"	"AEROPUERTO DE AGUASCALIENTES S.A. DE C.V."	"488112"	"Administración de aeropuertos y helipuertos"	"Otros"	"L7"	"Servicios de administracion de aeropuertos y helipuertos"	"SERVICIOS DE ADMINISTRACION DE AEROPUERTOS Y HELIPUERTOS"	"ZONA MEDIO URBANA FUERA DE LA CD DE AGUASCALIENTES"	"0"	"0"	"21°53'06.28"""	"102°17'00.15"""	"CARRETERA PANAMERICANA KM.22"	"N.A."	"N.A."	"EJIDO BUENAVISTA DE PEÑUELAS"	"AGUASCALIENTES"	"AGUASCALIENTES"	"Aguascalientes"	"20340"
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"331520"	"Moldeo por fundición de piezas metálicas no ferrosas"	"Metalurgica (incluye la siderurgica)"	"ND"	"Fundicion  y moldeo de piezas de metales no ferrosos"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS."				21.95113	-102.32801	"AVENIDA GUADALUPE"	"224"		"MARAVILLAS"	"MARAVILLAS"	"AGUASCALIENTES"	"Jesus Maria"	"20900"
"AAL7Q1503311"	"ALMEXA ALUMINIO S.A. DE C.V."	"331310"	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	"TULPETLAC"	"0"	"0"	"19°34'05.64"""	"99°03'08.07"""	"VIA MORELOS"	"347"		"SANTA MARIA TULPETLAC"	"TULPETLAC"	"MEXICO"	"Ecatepec de Morelos"	"55400"
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"331310"	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	"BARRIENTOS"			19.57988	-99.20186	"VIA GUSTAVO BAZ"	"4874"		"SAN PEDRO BARRIENTOS"	"TLALNEPANTLA"	"MEXICO"	"Tlalnepantla de Baz"	"54100"
"AAM520803711"	"ASO AMERICAS, S. DE R.L. DE C.V."	"339999"	"Otras industrias manufactureras"	"Articulos y productos compuestos de diferentes materiales"	"52"	"Articulos y productos compuestos de diferentes materiales"	"MANUFACTURA ENSAMBLE DESARROLLO INVEST COMPRA VENTA Y EMPACADO DE MATERIALES DE CURACION"	"CENTRO INDUSTRIAL JUAREZ"	"0"	"0"	"31°36'39"""	"106°23'21"""	"RIO MICHIGAN"	"9730"		"HACIENDA DE LAS TORRES"	"CD JUAREZ"	"CHIHUAHUA"	"Juarez"	"32648"
"AAM5E0901411"	"FRANCISCO JOSE ALCANTARA MARTINEZ"	"323111"	"Impresión de libros, periódicos y revistas"	"Otros"	"5E"	"Edicion, Encuadernacion y/o impresion"	"IMPRENTA"		"0"	"0"	"19°23'21"""	"99°09'05"""	"DR. VERTIZ"	"871 BIS"		"NARVARTE"		"DISTRITO FEDERAL"	"Benito Juarez"	"03020"
"AAM8V0800511"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V."	"336320"	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"CORTE Y PROCESO DE CABLE AUTOMOTRIZ"		"0"	"0"	31.08714	-108.0036	"AVE. DEL CARMEN 1206"	"1206"		"CENTRO"	"ASCENSION"	"CHIHUAHUA"	"Ascension"	"31821"
"AAM8V0803715"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V. PLANTA 7"	"336320"	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"MANUFACTURA DE ARNESES AUTOMOTRICES"	"GEMA"	"362779.6"	"3506615.06"	31.69026	-106.45129	"AUXILIAR"	"220"		"PARQUE GEMA"	"JUAREZ"	"CHIHUAHUA"	"Juarez"	"32630"
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"336390"	"Fabricación de otras partes para vehículos automotrices"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"PARQUE INDUSTRIAL FIPASI"	"0"	"0"	"20°54'55"""	"101°23'41"""	"COMERCIANTES"	"1300"		"PARQUE IND. FIPASI"	"SILAO"	"GUANAJUATO"	"Silao"	"36100"
"AAU5U1904611"	"ACABADOS AUTOMOTRICES S.A. DE C.V."	"325510"	"Fabricación de pinturas y recubrimientos"	"Pinturas y tintas"	"5U"	"Produccion de pinturas, recubrimientos e impermeabilizantes"	"PRODUCCIÓN DE TODO TIPO DE PINTURAS, RECUBRIMIENTOS E IMPERMEABILIZANTES (EXCLUYE PRODUCTO"	"FRACCIONAMIENTO  INDUSTRIAL  NOGALAR"	"0"	"0"	"25°43'25.27"""	"100°16'46.10"""	"DIEGO DIAZ DE BERLANGA"	"251"		"IND. NOGALAR"	"SAN NICOLAS DE LOS GARZA"	"NUEVO LEON"	"San Nicolas de los Garza"	"66480"
"ABA621000711"	"AUSTIN BACIS, S.A. DE C.V."	"325920"	"Fabricación de explosivos"	"Quimica"	"62"	"Produccion de explosivos"	"PRODUCCIÓN DE EXPLOSIVOS (NO INCLUYE FUEGOS ARTIFICIALES)."	"AREA RURAL"			25.72484	-103.63808	"DOMICILIO CONOCIDO"	"SN"		"NA"	"DINAMITA"	"DURANGO"	"Gomez Palacio"	"35100"
"ABL911904611"	"ACUITY BRANDS LIGHTING DE MEXICO, S. DE R.L. DE C.V. PLANTA MEZQUITAL"	"237131"	"Construcción de obras de generación y conducción de energía eléctrica"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"ENSAMBLE DE LUMINARIAS"	"LOS PARQUES"			"25°44'43.00"""	"100°14'21.63"""	"AVE. LOS PARQUES"	"320"		"INDUSTRIAL LOS PARQUES"		"NUEVO LEON"	"San Nicolas de los Garza"	"66445"
"ABPMC1000711"	"ADM BIO PRODUCTOS S.A. DE C.V."	"311222"	"Elaboración de aceites y grasas vegetales comestibles"	"Quimica"	"MC"	"Fabricacion de aceites y grasas alimenticias"	"PRODUCCIÓN DE ACEITES Y GRASAS CUANDO EN SU FABRICACIÓN EXISTE REACCIÓN QUÍMICA O EXTRACCI"				25.55178	-103.48431	"BLVD. MIGUEL ALEMAN"	"KM. 11.40"		"CENTRO"	"GOMEZ PALACIO"	"DURANGO"	"Gomez Palacio"	"35000"
"ACA9M2402511"	"AS CATALIZADORES AMBIENTALES, S.A. DE C.V."	"336390"	"Fabricación de otras partes para vehículos automotrices"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"Fabricacion de catalizadores ambientales para la industria automotriz"	"Zona Industrial del Potosí"	"0"	"0"	"22°4'17"""	"100°53'44"""	"Eje 128 Manzana 10"	"215"		"Zona Industrial del Potosí"	"San Luis Potosí"	"SAN LUIS POTOSI"	"San Luis Potosi"	"78395"
"ACC5U1901211"	"ARIES COIL COATINGS S.A. DE C.V."	"325510"	"Fabricación de pinturas y recubrimientos"	"Pinturas y tintas"	"5U"	"Produccion de pinturas, recubrimientos e impermeabilizantes"	"PRODUCCIÓN DE TODO TIPO DE PINTURAS, RECUBRIMIENTOS E IMPERMEABILIZANTES (EXCLUYE PRODUCTO"	"PARQUE INDUSTRIAL CIENEGA DE FLORES"	"0"	"0"	"25°57'41.69"""	"100° 8'38.58"""	"CARRETERA MONTERREY LAREDO KM. 37.1"	"km 37.1"				"NUEVO LEON"	"Cienega de Flores"	"65550"
"ACE5H2402811"	"ADYDSA DEL CENTRO S.A. DE C.V."	"325190"	"Fabricación de otros productos químicos básicos orgánicos"	"Quimica"	"5H"	"Produccion de acidos organicos"	"Comercialización y formulación de solventes orgánicos"	"Parque industrial"	"305534.19"	"2449037.85"	"22°53'5"""	"100°5'25"""	"Av. Industrias sn esq. Av. Ampliación"	"s n"		"Zona Industrial"	"San Luis Potosí"	"SAN LUIS POTOSI"	"San Luis Potosi"	"78395"
"ACE6E2603011"	"ALAMBRADOS Y CIRCUITOS ELÉCTRICOS S.A. DE C.V."	"336320"	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores"	"Articulos y productos plasticos"	"6E"	"Fabricacion de productos y articulos de plastico"	"Inyección de Plástico para moldeo"	"Parque Industrial Dynatech Sur"			"28°59'27"""	"110°54'16"""	"Boulevard Fusión esq. Ave. Mercury"	"120"		"Parque Industrial"	"Hermosillo"	"SONORA"	"Hermosillo"	"83297"
"ACE7F1104411"	"ARCELORMITTAL CELAYA S.A. DE C.V."	"331510"	"Moldeo por fundición de piezas de hierro y acero"	"Metalurgica (incluye la siderurgica)"	"7I"	"Laminacion secundaria de hierro y acero"	"LAMINACIÓN PRIMARIA DE HIERRO Y ACERO (INCLUYE FERROALEACIONES, ACEROS COMUNES Y ESPECIALE"				"20°30'57"""	"100°54'45"""	"carretera panamericana tramo Celaya-sala"	"km. 7.5"		"rancho el chinaco"	"Villagran"	"GUANAJUATO"	"Villagran"	"38110"
