"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA 
UTM X"	"COORDENADA 
UTM Y"	"LATITUD 
NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AAG8A1403911"	"JESUS ALVARADO GARCIA"	332810	"Recubrimientos y terminados metálicos."	"Quimica"	"8A"	"Galvanoplastia"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."				"20°38'27"""	"103°20'55"""	"CALLE 10A"	"2083"		"FERROCARRIL"	"GDL"	"JALISCO"	"Guadalajara"	"44440"
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	331520	"Moldeo por fundición de piezas metálicas no ferrosas."	"Metalurgica (incluye la siderurgica)"	"ND"	"Fundicion  y moldeo de piezas de metales no ferrosos"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS."				"21°57'49"""	"102°19'37"""	"AVENIDA GUADALUPE"	"224"		"MARAVILLAS"	"MARAVILLAS"	"AGUASCALIENTES"	"Jesus Maria"	"20900"
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	331310	"Industria básica del aluminio."	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	"TULPETLAC"			"19°2'40"""	"99°33'50"""	"VIA MORELOS"	"347"		"SANTA MARIA TULPETLAC"	"TULPETLAC"	"MEXICO"	"Ecatepec de Morelos"	"55400"
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS"	331310	"Industria básica del aluminio."	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	"BARRIENTOS"			"19°34'58"""	"99°12'0"""	"VIA GUSTAVO BAZ"	"4874"		"SAN PEDRO BARRIENTOS"	"TLALNEPANTLA"	"MEXICO"	"Tlalnepantla de Baz"	"54100"
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A. DE C.V."	331310	"Industria básica del aluminio."	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	"PARQUE INDUSTRIAL CARTAGENA"			"19°38'42"""	"99°9'10"""	"AVENIDA DOS"	"4"		"PARQEU INDUSTRIAL CARTAGENA"	"TULTITLAN"	"MEXICO"	"Tultitlan"	"54900"
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	336390	"Fabricación de otras partes para vehículos automotrices."	"Automotriz"	"9M"	"Produccion de otras auto partes"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"PARQUE INDUSTRIAL FIPASI"			"20°53'41"""	"101°23'110"""	"COMERCIANTES"	"1300"		"PARQUE IND. FIPASI"	"SILAO"	"GUANAJUATO"	"Silao"	"36100"
"AAN7L1510611"	"ACEROS ANGLO S.A .DE C.V."	331111	"Complejos siderúrgicos."	"Metalurgica (incluye la siderurgica)"	"7F"	"Laminacion primaria de hierro y acero"	"FABRICACION DE ACEROS ESPECIALES"	"ZONA INDUSTRIAL"			"19°19'23"""	"99°6'0"""	"ELECTRIFICACION"	"103"		"INDEPENDENCIA"		"MEXICO"	"Toluca"	"50070"
"AAN8Z1503311"	"ACUMULADORES ANAHUAC S.A DE C.V."	335910	"Fabricación de acumuladores y pilas."	"Metalurgica (incluye la siderurgica)"	"8Z"	"Produccion de acumuladores y pilas electricas"	"FABRICACIÓN DE ACUMULADORES AUTOMOTRICES Y  SERVICIO ELECTRICO"	"ZONA INDRUSTIAL XALOSTOC"			"19°31'25"""	"99°5'16"""	"VIA MORELOS"	"45"		"XALOSTOC"	"MÉXICO"	"MEXICO"	"Ecatepec de Morelos"	"55310"
"AARKE1901911"	"ALIANZA AUTOMOTRIZ RIVERO S.A. DE C.V."	811111	"Reparación mecánica en general de automóviles y camiones."	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"VENTA DE VEHICULOS NUEVOS Y REFACCIONES SERVICIO DE MANTTO. AUTOMOTRIZ"				"25°38'52"""	"100°21'32"""	"AV. GOMEZ MORIN"	"402"		"VILLA DE ARAGON"	"MONTERREY"	"NUEVO LEON"	"Monterrey"	"62220"
"ABA5N1605311"	"Agroindustrias del Balsas, S.A. de C.V."	325310	"Fabricación de fertilizantes."	"Quimica"	"5N"	"Produccion de fertilizantes quimicos"	"FABRICACION DE FERTILIZANTES"	"RECINTO PORTUARIO"			"17°55'0"""	"102°12'0"""	"ISLA DE ENMEDIO"	"SN"			"LAZARO CARDENAS"	"MICHOACAN"	"Lazaro Cardenas"	"60950"
"ABA621000711"	"AUSTIN BACIS, S.A. DE C.V."	325920	"Fabricación de explosivos."	"Quimica"	"62"	"Produccion de explosivos"	"PRODUCCIÓN DE EXPLOSIVOS (NO INCLUYE FUEGOS ARTIFICIALES)."	"AREA RURAL"			"25°43'32"""	"103°38'17"""	"DOMICILIO CONOCIDO"	"SN"		"NA"	"DINAMITA"	"DURANGO"	"Gomez Palacio"	"35100"
"ABE5Q1507011"	"ACABADOS BETA, S.A."	325211	"Fabricación de resinas sintéticas."	"Quimica"	"5Q"	"Produccion de resinas sinteticas"	"PRODUCCIÓN DE RESINAS SINTÉTICAS (INCLUYE PLASTIFICANTES)."				"19°21'58"""	"98°57'52"""	"FERROCARRIL MÉXICO-ACAPULCO -RIO FRIO-"	"350"		"LA MAGDALENA ATLICPAC"	"LOS REYES LA PAZ"	"MEXICO"	"La Paz"	"56500"
"ABL921902611"	"ACUITY BRANDS LIGHTING DE MEXICO, S. DE R.L. DE C.V."	335110	"Fabricación de focos."	"Equipos y articulos electronicos, electricos y domesticos"	"92"	"Produccion de focos y tubos de iluminacion"	"FABRICACIÓN Y ENSAMBLE DE LUMINARIOS FLUORESCENTES Y HID"	"LA SILLA"			"25°39'12"""	"100°10'39"""	"AVE. LA SILLA"	"7711"		"SANTA MARÍA"	"GUADALUPE"	"NUEVO LEON"	"Guadalupe"	"67190"
"ABPMC1000711"	"ADM BIO PRODUCTOS S.A. DE C.V."	311222	"Elaboración de aceites y grasas vegetales comestibles."	"Quimica"	"MC"	"Fabricacion de aceites y grasas alimenticias"	"PRODUCCIÓN DE ACEITES Y GRASAS CUANDO EN SU FABRICACIÓN EXISTE REACCIÓN QUÍMICA O EXTRACCI"				"25°33'1"""	"103°29'0"""	"BLVD. MIGUEL ALEMAN"	"KM. 11.40"		"CENTRO"	"GOMEZ PALACIO"	"DURANGO"	"Gomez Palacio"	"35000"
"ABRLJ1505111"	"ARTE EN BRONCE, S.A. DE C.V."	331520	"Moldeo por fundición de piezas metálicas no ferrosas."	"Metalurgica (incluye la siderurgica)"	"LJ"	"Fundicion de chatarra de fierro, de aluminio, de bronce, de plomo y de otros materiales metalicos"	"FABRICACION DE ARTICULOS DE METAL"	"PARQUE INDUSTRIAL EL CERRILLO"			"19°17'51"""	"261°32'10"""	"ALFREDO DEL MAZO"	"15"	"C"	"PARQUE INDUSTRIAL EL CERRILLO"	"LERMA"	"MEXICO"	"Lerma"	"52000"
"ABS7T0503011"	"Aluminio y Bronces de Saltillo, S.A. de C.V."	331310	"Industria básica del aluminio."	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"Fundicion de Aluminio"				"25°27'57"""	"100°59'52"""	"Calle Primera"	"1000"		"Nazario Ortiz Garza"	"Saltillo"	"COAHUILA"	"Saltillo"	"25100"
"ACA8A1502411"	"ACEROS CAMESA S.A. DE C.V."	332810	"Recubrimientos y terminados metálicos."	"Quimica"	"8A"	"Galvanoplastia"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."	"ZONA INDUSTRIAL CUAUTITLAN"			"19°31'26"""	"99°9'1"""	"Km17.5 CARRETERA TLALNEPANTLA CUAUTITLAN"	"SIN NUMERO"		"EL PILAR"	"CUATITLAN"	"MEXICO"	"Cuautitlan"	"54879"
"ACAKE1903911"	"AUTOMOVILES Y CAMIONES S.A. DE C.V."	811111	"Reparación mecánica en general de automóviles y camiones."	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"VENTA DE AUTOS NUEVOS Y SEMINUEVOS SERVICIO DE MANTENIMIENTO Y VENTA DE REFACCIONES"				"25°42'33"""	"100°18'43"""	"AV. ALFONSO REYES"	"3635"		"DEL NORTE"		"NUEVO LEON"	"Monterrey"	"64500"
"ACAKE2300531"	"AUTOMOTORES DE CANCUN, S.A DE C.V.    MATRIZ COLOSIO"	811111	"Reparación mecánica en general de automóviles y camiones."	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"COMPRA VENTA DE AUTOMOVILES NUEVOS, REFACCIONES Y SERVICIOS DE TALLER"	"CARRETERA CANCUN - TULUM"			"21°7'38"""	"86°49'54"""	"SUPERMANZANA 310 BLVD L.D.C.  S/N"	"5"			"CANCUN"	"QUINTANA ROO"	"Benito Juarez"	"77500"
"ACAKE2300811"	"AUTOMOTORES DE CANCUN, S.A. DE C.V.   PLAYA DEL CARMEN"	811111	"Reparación mecánica en general de automóviles y camiones."	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"COMPRA VENTA DE AUTOS NUEVOS, REFACCIONES Y SERVICIOS DE TALLER"				"20°37'9"""	"87°4'1"""	"CARRETERA FEDERAL TULUM- CANCUN"	"104"	"1"	"ZAZIL HA"	"PLAYA DEL CARMEN"	"QUINTANA ROO"	"Solidaridad"	"77710"
"ACARP2300511"	"AEROPUERTO DE CANCÚN, S.A. DE C.V."	488112	"Administración de aeropuertos y helipuertos."	"Otros"	"L7"	"Servicios de administracion de aeropuertos y helipuertos"	"ADMINISTRACIÓN DE AEROPUERTOS"	"AEROPUERTO"			"21°2'12"""	"86°52'37"""	"CARRETERA CANCÚN - CHETUMAL KM.22"	"NA"			"CANCÚN"	"QUINTANA ROO"	"Benito Juarez"	"77565"
