"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA
UTM X"	"COORDENADA
UTM Y"	"LATITUD NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AAG1100900010"	"AISIN AUTOMOTIVE GUANAJUATO S.A. DE C.V.,AAGT"	"336390"	"Fabricación de otras partes para vehículos automotrices"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"FABRICACIÓN DE OTRAS PARTES PARA VEHÍCULOS AUTOMOTRICES"	"MARABIS COMONFORT"	"313845.239"	"2293607.4904"	"20°43'58"""	"100°47'16"""	"Avenida MONOZUKURI"	"4 "	" "		"COMONFORT"	"GUANAJUATO"	"Comonfort"	"38200"
"AAG1403901019"	"JESUS ALVARADO GARCIA,TALLER DEL SR. JESUS ALVARADO"	"339999"	"Otras industrias manufactureras"	"Quimica"	"8A"	"Galvanoplastia"	"MAQUILA DE GALVANOPLASTIA"		"671986.3405"	"2283474.4223"	"20°38'33"""	"103°20'57"""	"Calle  10a"	"2083 "	" "	"Colonia FERROCARRIL"	"GUADALAJARA"	"JALISCO"	"Guadalajara"	"44440"
"AAL1512102650"	"ALMEXA ALUMINIO SA DE CV,"	"331310"	"Industria básica del aluminio"	"Cemento y Cal"	"LJ"	"Fundicion de chatarra de fierro, de aluminio, de bronce, de plomo y de otros materiales metalicos"	"FUNDICIÓN Y LAMINACIÓN DE ALUMINIO"		"478326.458"	"2171540.3221"	"19°38'20"""	"99°12'24"""	"Calle BENJAMIN FRANKLIN"	"9 "	" "	"Colonia CONJUNTO IND. LA JOYA"	"CUAUTITLAN IZCALLI"	"MEXICO"	"Cuautitlan Izcalli"	"54730"
"AAL7Q1503321"	"ALMEXA ALUMINIO SA DE CV,"	"331310"	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"TRANSFORMACIÓN DE ALUMINIO"		"494746.4971"	"2162444.2738"	"19°33'24"""	"99°3'0"""	"Calle VIA MORELOS"	"347 "	" "	"Colonia STA. MARIA TULPETLAC"	"ECATEPEC DE MORELOS"	"MEXICO"	"Ecatepec de Morelos"	"55400"
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A DE C.V,AZINSA ALUMINIO, S.A. DE C.V."	"331310"	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACION DE ALUMINIO (INCLUYE FUNDICION, EXTRUSION O ESTIRAJE)"		"483998.7598"	"2171967.9268"	"19°38'34"""	"99°9'9"""	"Calle AV. DOS"	"4 "	" "	"Colonia FRACC. INDUSTRIAL CARTAGENA"	"TULTITLAN DE MARIANO ESCOBEDO"	"MEXICO"	"Tultitlan"	"54900"
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S DE RL DE CV,AMERICAN AXLE & MANUFACTURING DE MEXICO"	"336350"	"Fabricación de partes de sistemas de transmisión para vehículos automotores"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"COMERCIALIZADORA DE EJES Y AUTOPARTES"		"254545.9119"	"2311788.66"	"20°53'24"""	"101°21'34"""	"Calle AVENIDA DE LOS COMERCIANTES"	"1300 "	" "	"Colonia PARQUE INDUSTRIAL FIPASI"	"SILAO DE LA VICTORIA"	"GUANAJUATO"	"Silao"	"36100"
"AAO1409800253"	"ASSA ABLOY OCCIDENTE, SA DE CV,"	"332510"	"Fabricación de herrajes y cerraduras"	"Cemento y Cal"	"7M"	"Laminacion de otros metales no ferrosos"	"FABRICACION Y COMERCIALIZACION DE CERRADURAS"		"666492.136"	"2279753.1929"	"20°36'34"""	"103°24'8"""	"Periférico Anillo Periferico Sur"	"7980 "	"EDIFICIO 2B "	"Colonia SANTA MARIA TEQUEPEXPAN"	"TLAQUEPAQUE"	"JALISCO"	"Tlaquepaque"	"45601"
"AARKE1901911"	"ALIANZA AUTOMOTRIZ RIVERO S.A. DE C.V.,RIVERO GOMEZ MORIN"	"468111"	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. automotriz"		"363513.1086"	"2837197.5503"	"25°38'46"""	"100°21'34"""	"Avenida Gomez Morin"	"402 "	"12A "	"Colonia Villas de Aragon"	"SAN PEDRO GARZA GARCIA"	"NUEVO LEON"	"San Pedro Garza Garcia"	"66273"
"AAUEE1901911"	"ACCESO AUTOMOTRIZ SA DE CV,AUDI CALZADA DEL VALLE"	"468111"	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. Automotriz"		"362826.2733"	"2838279.078"	"25°39'21"""	"100°21'59"""	"Calzada  DEL VALLE"	"340 OTE "	" "	"Colonia DEL VALLE"	"SAN PEDRO GARZA GARCIA"	"NUEVO LEON"	"San Pedro Garza Garcia"	"66220"
"AAU2112800014"	"AUDI MEXICO, S.A DE C.V.,AUDI"	"336110"	"Fabricación de automóviles y camionetas"	"Automotriz"	"9G"	"Produccion de automoviles, camiones, tractocamiones y similares"	"FABRICACION DE AUTOMOVILES Y CAMIONETAS"	"SAN JOSE  CHIAPA"	"631151.4602"	"2125346.2759"	"19°13'2"""	"97°45'8"""	"Boulevard Q5"	"1 "	" "		"SAN JOSE CHIAPA"	"PUEBLA"	"San Jose Chiapa"	"75012"
