"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA 
UTM X"	"COORDENADA 
UTM Y"	"LATITUD 
NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	331520	"Moldeo por fundición de piezas metálicas no ferrosas."	"Metalurgica (incluye la siderurgica)"	"ND"	"Fundicion  y moldeo de piezas de metales no ferrosos"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS."				21.95113	-102.32801	"AVENIDA GUADALUPE"	"224"		"MARAVILLAS"	"MARAVILLAS"	"AGUASCALIENTES"	"Jesus Maria"	"20900"
"AAL7Q1503311"	"ALMEXA ALUMINIO S.A. DE C.V."	331310	"Industria básica del aluminio."	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	"TULPETLAC"	0	0	"19°34'05.64"""	"99°03'08.07"""	"VIA MORELOS"	"347"		"SANTA MARIA TULPETLAC"	"TULPETLAC"	"MEXICO"	"Ecatepec de Morelos"	"55400"
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	331310	"Industria básica del aluminio."	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	"BARRIENTOS"			19.57988	-99.20186	"VIA GUSTAVO BAZ"	"4874"		"SAN PEDRO BARRIENTOS"	"TLALNEPANTLA"	"MEXICO"	"Tlalnepantla de Baz"	"54100"
"AAM520803711"	"ASO AMERICAS, S. DE R.L. DE C.V."	339999	"Otras industrias manufactureras."	"Articulos y productos compuestos de diferentes materiales"	"52"	"Articulos y productos compuestos de diferentes materiales"	"MANUFACTURA ENSAMBLE DESARROLLO INVEST COMPRA VENTA Y EMPACADO DE MATERIALES DE CURACION"	"CENTRO INDUSTRIAL JUAREZ"	0	0	"31°36'39"""	"106°23'21"""	"RIO MICHIGAN"	"9730"		"HACIENDA DE LAS TORRES"	"CD JUAREZ"	"CHIHUAHUA"	"Juarez"	"32648"
"AAM8V0800511"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V."	336320	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores."	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"CORTE Y PROCESO DE CABLE AUTOMOTRIZ"		0	0	31.08714	-108.0036	"AVE. DEL CARMEN 1206"	"1206"		"CENTRO"	"ASCENSION"	"CHIHUAHUA"	"Ascension"	"31821"
"AAM8V0803711"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE.C.V.PLANTA 1"	336320	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores."	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"MANUFACTURA DE ARNESES AUTOMOTRICES"	"PARQUE INDISTRIAL GEMA"	362280	3506744	31.69057	-106.45475	"CHAMIZAL  CRUCE CON CALLE MAGNETO"	"950"		"NA"	"JUAREZ"	"CHIHUAHUA"	"Juarez"	"32630"
"AAM8V0803712"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V. PLANTA 2"	336320	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores."	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"MANUFACTURA DE ARNESES AUTOMOTRICES"	"GEMA"	362491.6	3506742.07	31.69019	-106.45333	"CHAMIZAL Y MAGNETO"	"524"		"PARQUE GEMA"	"JUAREZ"	"CHIHUAHUA"	"Juarez"	"32630"
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	336390	"Fabricación de otras partes para vehículos automotrices."	"Automotriz"	"9M"	"Produccion de otras auto partes"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"PARQUE INDUSTRIAL FIPASI"	0	0	"20°54'55"""	"101°23'41"""	"COMERCIANTES"	"1300"		"PARQUE IND. FIPASI"	"SILAO"	"GUANAJUATO"	"Silao"	"36100"
"ABA621000711"	"AUSTIN BACIS, S.A. DE C.V."	325920	"Fabricación de explosivos."	"Quimica"	"62"	"Produccion de explosivos"	"PRODUCCIÓN DE EXPLOSIVOS (NO INCLUYE FUEGOS ARTIFICIALES)."	"AREA RURAL"			25.72484	-103.63808	"DOMICILIO CONOCIDO"	"SN"		"NA"	"DINAMITA"	"DURANGO"	"Gomez Palacio"	"35100"
"ABL911904611"	"ACUITY BRANDS LIGHTING DE MEXICO, S. DE R.L. DE C.V. PLANTA MEZQUITAL"	237131	"Construcción de obras de generación y conducción de energía eléctrica."	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"ENSAMBLE DE LUMINARIAS"	"LOS PARQUES"			"25°44'43.00"""	"100°14'21.63"""	"AVE. LOS PARQUES"	"320"		"INDUSTRIAL LOS PARQUES"		"NUEVO LEON"	"San Nicolas de los Garza"	"66445"
"ABL921902611"	"ACUITY BRANDS LIGHTING DE MÉXCIO, S. DE R.L. DE C.V."	335110	"Fabricación de focos."	"Equipos y articulos electronicos, electricos y domesticos"	"92"	"Produccion de focos y tubos de iluminacion"	"FEBRICACIÓN Y NSAMBLE DE LUMINARIOS FLUORESCENTES Y HID"	"PARQUE INDUSTRIAL LA SILLA"			"25°39'21.53"""	"100°10'52.19"""	"AVE. LA SILLA"	"7711"		"SANTA MARÍA"	"GUADALUPE"	"NUEVO LEON"	"Guadalupe"	"67190"
"ABPMC1000711"	"ADM BIO PRODUCTOS S.A. DE C.V."	311222	"Elaboración de aceites y grasas vegetales comestibles."	"Quimica"	"MC"	"Fabricacion de aceites y grasas alimenticias"	"PRODUCCIÓN DE ACEITES Y GRASAS CUANDO EN SU FABRICACIÓN EXISTE REACCIÓN QUÍMICA O EXTRACCI"				25.55178	-103.48431	"BLVD. MIGUEL ALEMAN"	"KM. 11.40"		"CENTRO"	"GOMEZ PALACIO"	"DURANGO"	"Gomez Palacio"	"35000"
"ABR910803711"	"Amglo Bravo S. de R.L. de C.V."	335110	"Fabricación de focos."	"Equipos y articulos electronicos, electricos y domesticos"	"92"	"Produccion de focos y tubos de iluminacion"	"Todo tipo  de lamparas sistemas y dispositivos de iluminacion"		0	0	"31°41'51"""	"0.106°26'36"""	"Av. Ramon Rivera Lara"	"5465"		"Acacias"	"Cd Juarez"	"CHIHUAHUA"	"Juarez"	"32618"
