"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA 
UTM X"	"COORDENADA 
UTM Y"	"LATITUD 
NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AAA190000015"	"BELDEN LRC MEXICO S DE R.L. DE C.V.,BELDEN LRC MEXICO"	"334410"	"Fabricación de componentes electrónicos"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"MANUFACTURA DE COMPONENTES ELECTRONICOS"		"368693.0927"	"2850093.9737"	"25°45'46"""	"100°18'33"""	"Avenida Av. Sendero Divisorio"	"500"	"B1"	"Privada TABACHINES"	"San Nicolás de los Garza"	"NUEVO LEON"	"San Nicolas de los Garza"	"66425"
"AAG1403901019"	"JESUS ALVARADO GARCIA,TALLER DEL SR. JESUS ALVARADO"	"332810"	"Recubrimientos y terminados metálicos"	"Quimica"	"8A"	"Galvanoplastia"	"MAQUILA DE GALVANOPLASTIA"		"671986.3405"	"2283474.4223"	"20°38'33"""	"103°20'57"""	"Calle  10a"	"2083"		"Colonia FERROCARRIL"	"Guadalajara"	"JALISCO"	"Guadalajara"	"44440"
"AAL7Q1503321"	"ALMEXA ALUMINIO SA DE CV,"	"331310"	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"TRANSFORMACION DE ALUMINIO"		"494987.9919"	"2162796.0933"	"19°33'36"""	"99°2'52"""	"Calle VIA MORELOS"	"347"		"Colonia STA. MARIA TULPETLAC"	"Ecatepec de Morelos"	"MEXICO"	"Ecatepec de Morelos"	"55400"
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A DE C.V,AZINSA ALUMINIO, S.A. DE C.V."	"331310"	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACION DE ALUMINIO (INCLUYE FUNDICION, EXTRUSION O ESTIRAJE)"		"483998.7598"	"2171967.9268"	"19°38'34"""	"99°9'9"""	"Calle AV. DOS"	"4"		"Colonia FRACC. INDUSTRIAL CARTAGENA"	"Tultitlán de Mariano Escobedo"	"MEXICO"	"Tultitlan"	"54900"
"AAM1503900040"	"ACEROS AMERICA S.A. DE C.V.,"	"331111"	"Complejos siderúrgicos"	"Metalurgica (incluye la siderurgica)"	"7I"	"Laminacion secundaria de hierro y acero"	"LAMINACIÓN DE VARILLA Y SIMILARES"		"505305.747"	"2137438.0757"	"19°19'51"""	"98°56'58"""	"Calle Seminario"	"3"		"Colonia SAN JUAN TLALPIZAHUAC"	"Ixtapaluca"	"MEXICO"	"Ixtapaluca"	"56576"
"AAM7X2201411"	"AERNNOVA AEROSPACE MEXICO SA DE CV,AERNNOVA AEROSPACE MEXICO S.A. DE C.V."	"336410"	"Fabricación de equipo aeroespacial"	"Automotriz"	"9S"	"Industria aeroespacial"	"ENSAMBLE DE ESTRUCTURAS AERONAUTICAS"	"Querétaro"	"349628.9088"	"2302886.3681"	"20°49'11"""	"100°26'42"""	"Avenida BENITO JUAREZ"	"109"			"Santa Rosa Jáuregui"	"QUERETARO"	"Queretaro"	"76220"
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S DE RL DE CV,AMERICAN AXLE & MANUFACTURING DE MEXICO"	"336350"	"Fabricación de partes de sistemas de transmisión para vehículos automotores"	"Automotriz"	"9J"	"Produccion de partes para el sistema de transmision automotriz"	"COMERCIALIZADORA DE EJES Y AUTOPARTES"		"254545.9119"	"2311788.66"	"20°53'24"""	"101°21'34"""	"Calle AVENIDA DE LOS COMERCIANTES"	"1300"		"Colonia PARQUE INDUSTRIAL FIPASI"	"Silao de la Victoria"	"GUANAJUATO"	"Silao"	"36100"
"AARKE1901911"	"ALIANZA AUTOMOTRIZ RIVERO S.A. DE C.V.,"	"811111"	"Reparación mecánica en general de automóviles y camiones"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Venta de Automoviles y Refacciones Servicio de Mantto. Automotriz"		"363564.4651"	"2837445.0638"	"25°38'54"""	"100°21'33"""	"Calle AVE. GOMEZ MORIN"	"402"		"Colonia VILLA DE ARAGON"	"San Pedro Garza García"	"NUEVO LEON"	"San Pedro Garza Garcia"	"66273"
"AAT1412000676"	"EXPORTADORA DE PLASTICOS AGRICOLAS SA DE CV,EXPORTADORA DE PLASTICOS AGRICOLAS S.A. DE C.V."	"326110"	"Fabricación de bolsas y películas de plástico flexible"	"Articulos y productos plasticos"	"ZA"	"Produccion de telas y laminados plasticos"	"FABRICACION Y VENTA DE PELÍCULA PLÁSTICA DE POLIETILENO PARA USO AGRÍCOLA"		"653882.2297"	"2292895.4064"	"20°43'45"""	"103°31'19"""	"Calle CARRETERA A NOGALES"	"11556"		"Colonia LA VENTA DEL ASTILLERO"	"La Venta del Astillero"	"JALISCO"	"Zapopan"	"45221"
"AAU1903900165"	"AUTOKAM AUTOMOTRIZ S.A. DE C.V.,"	"811121"	"Hojalatería y pintura de automóviles y camiones"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"VENTA DE AUTOMOVILES Y REFACCIONES SERVICIO DE MANTTO. AUTOMOTRIZ LAMINADO Y PINTURA"		"371287.6752"	"2835859.9158"	"25°38'5"""	"100°16'55"""	"Avenida EUGENIO GARZA SADA"	"3800"		"Colonia MAS PALOMAS"	"Monterrey"	"NUEVO LEON"	"Monterrey"	"64780"
