"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA 
UTM X"	"COORDENADA 
UTM Y"	"LATITUD 
NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AAG8A1403911"	"JESUS ALVARADO GARCIA"	"332810"	"Recubrimientos y terminados metálicos"	"Quimica"	"8A"	"Galvanoplastia"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."				20.64233	-103.34879	"CALLE 10A"	"2083"		"FERROCARRIL"	"GDL"	"JALISCO"	"Guadalajara"	"44440"
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"331310"	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	"BARRIENTOS"			19.57988	-99.20186	"VIA GUSTAVO BAZ"	"4874"		"SAN PEDRO BARRIENTOS"	"TLALNEPANTLA"	"MEXICO"	"Tlalnepantla de Baz"	"54100"
"AAM520803711"	"ASO AMERICAS, S. DE R.L. DE C.V."	"339999"	"Otras industrias manufactureras"	"Articulos y productos compuestos de diferentes materiales"	"52"	"Articulos y productos compuestos de diferentes materiales"	"MANUFACTURA ENSAMBLE DESARROLLO INVEST COMPRA VENTA Y EMPACADO DE MATERIALES DE CURACION"	"CENTRO INDUSTRIAL JUAREZ"	"0"	"0"	"31°36'39"""	"106°23'21"""	"RIO MICHIGAN"	"9730"		"HACIENDA DE LAS TORRES"	"CD JUAREZ"	"CHIHUAHUA"	"Juarez"	"32648"
"AAM8V0800511"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V."	"336320"	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"CORTE Y PROCESO DE CABLE AUTOMOTRIZ"		"0"	"0"	31.08714	-108.0036	"AVE. DEL CARMEN 1206"	"1206"		"CENTRO"	"ASCENSION"	"CHIHUAHUA"	"Ascension"	"31821"
"AAM8V0803711"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE.C.V.PLANTA 1"	"336320"	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"MANUFACTURA DE ARNESES AUTOMOTRICES"	"PARQUE INDISTRIAL GEMA"	"362280"	"3506744"	31.69057	-106.45475	"CHAMIZAL  CRUCE CON CALLE MAGNETO"	"950"		"NA"	"JUAREZ"	"CHIHUAHUA"	"Juarez"	"32630"
"AAM8V0803712"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V. PLANTA 2"	"336320"	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"MANUFACTURA DE ARNESES AUTOMOTRICES"	"GEMA"	"362491.6"	"3506742.07"	31.69019	-106.45333	"CHAMIZAL Y MAGNETO"	"524"		"PARQUE GEMA"	"JUAREZ"	"CHIHUAHUA"	"Juarez"	"32630"
"AAM8V0805012"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V."	"336320"	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"MANUFACTURA Y ENSAMBLE DE ARNESES PARA EQUIPOS AUTOMOTRICES"		"0"	"0"	"30°25'95"""	"107°54'22"""	"LIBRAMIENTO VIAL"	"2610"		"FRACC. ALAMEDAS"	"NUEVO CASAS GRANDES"	"CHIHUAHUA"	"Nuevo Casas Grandes"	"31775"
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"336390"	"Fabricación de otras partes para vehículos automotrices"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"PARQUE INDUSTRIAL FIPASI"	"0"	"0"	"20°54'55"""	"101°23'41"""	"COMERCIANTES"	"1300"		"PARQUE IND. FIPASI"	"SILAO"	"GUANAJUATO"	"Silao"	"36100"
"ABA621000711"	"AUSTIN BACIS, S.A. DE C.V."	"325920"	"Fabricación de explosivos"	"Quimica"	"62"	"Produccion de explosivos"	"PRODUCCIÓN DE EXPLOSIVOS (NO INCLUYE FUEGOS ARTIFICIALES)."	"AREA RURAL"			25.72484	-103.63808	"DOMICILIO CONOCIDO"	"SN"		"NA"	"DINAMITA"	"DURANGO"	"Gomez Palacio"	"35100"
"ABC8A0200411"	"ALUMINIO DE BAJA CALIFORNIA, S.A DE C.V."	"332810"	"Recubrimientos y terminados metálicos"	"Quimica"	"QU"	"Anodizado de aluminio"	"EXTRUSION, ANODIZADO Y PINTURA DE PERFILES DE ALUMINIO"				"32°25'45"""	"117°1'52"""	"KM. 16,432 CARRETERA LIBRE TIJUANA-ENSEN"	"0"		"SAN ANTONIO DE LOS BUENOS"	"TIJUANA"	"BAJA CALIFORNIA"	"Tijuana"	"22563"
