"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA 
UTM X"	"COORDENADA 
UTM Y"	"LATITUD 
NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	488112	"Administración de aeropuertos y helipuertos."	"Otros"	"L7"	"Servicios de administracion de aeropuertos y helipuertos"	"SERVICIOS DE ADMINISTRACION AEROPORTUARIA"	"OTROS"			"16°45'41"""	"99°44'22"""	"BLVD. DE LAS NACIONES"	"SN"	"SN"	"PLAN DE LOS AMATES"	"ACAPULCO"	"GUERRERO"	"Acapulco de Juarez"	"39931"
"AAC0803700160"	"EDITH ALVARADO CHAVARIN"	331520	"Moldeo por fundición de piezas metálicas no ferrosas."	"Metalurgica (incluye la siderurgica)"	"ND"	"Fundicion  y moldeo de piezas de metales no ferrosos"	"FUNDICION Y MOLDEO DE PIEZAS DE BRONCE"				"31°42'3"""	"106°27'48"""	"CHICHIMECAS"	"6703"		"AZTECA"		"CHIHUAHUA"	"Juarez"	"32280"
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	331520	"Moldeo por fundición de piezas metálicas no ferrosas."	"Metalurgica (incluye la siderurgica)"	"ND"	"Fundicion  y moldeo de piezas de metales no ferrosos"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS."				"21°57'49"""	"102°19'37"""	"AVENIDA GUADALUPE"	"224"		"MARAVILLAS"	"MARAVILLAS"	"AGUASCALIENTES"	"Jesus Maria"	"20900"
"AAL1000700012"	"AUTOS ALAMEDA S.A. DE C.V."	811111	"Reparación mecánica en general de automóviles y camiones."	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"COMPRA VENTA Y MANTENIMIENTO MECANICO A UNIDADES AUTOMOTRICES"				"25°33'13"""	"103°30'11"""	"BLVD. MIGUEL ALEMAN"	"990"	"PTE"	"CENTRO"	"GOMEZ PALACIO"	"DURANGO"	"Gomez Palacio"	"35000"
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	331310	"Industria básica del aluminio."	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	"TULPETLAC"			"19°2'40"""	"99°33'50"""	"VIA MORELOS"	"347"		"SANTA MARIA TULPETLAC"	"TULPETLAC"	"MEXICO"	"Ecatepec de Morelos"	"55400"
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V"	331310	"Industria básica del aluminio."	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	"BARRIENTOS"			"19°34'58"""	"99°12'0"""	"VIA GUSTAVO BAZ"	"4874"		"SAN PEDRO BARRIENTOS"	"TLALNEPANTLA"	"MEXICO"	"Tlalnepantla de Baz"	"54100"
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A. DE C.V."	331310	"Industria básica del aluminio."	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	"PARQUE INDUSTRIAL CARTAGENA"			"19°38'42"""	"99°9'10"""	"AVENIDA DOS"	"4"		"PARQEU INDUSTRIAL CARTAGENA"	"TULTITLAN"	"MEXICO"	"Tultitlan"	"54900"
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	336390	"Fabricación de otras partes para vehículos automotrices."	"Automotriz"	"9M"	"Produccion de otras auto partes"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"PARQUE INDUSTRIAL FIPASI"			"20°54'55"""	"101°23'41"""	"AV. COMERCIANTES"	"1300"	"2A"	"PARQUE INDUSTRIAL FIPASI"		"GUANAJUATO"	"Silao"	"36100"
"AANEE0900711"	"AUTOMOVILÍSTICA ANDRADE, S.A. DE C.V."	811111	"Reparación mecánica en general de automóviles y camiones."	"Otros"	"EE"	"Centros distribuidores de autotransportes"	"VENTA Y REPARACIÓN DE AUTOMÓVILES"				"19°21'21"""	"99°6'19"""	"CALZADA DE LA VIGA"	"1880"		"MEXICALTZINGO"		"DISTRITO FEDERAL"	"Iztapalapa"	"09080"
"AAN7L1510611"	"ACEROS ANGLO S.A .DE C.V."	331111	"Complejos siderúrgicos."	"Metalurgica (incluye la siderurgica)"	"7F"	"Laminacion primaria de hierro y acero"	"FABRICACION DE ACEROS ESPECIALES"	"ZONA INDUSTRIAL"			"19°17'40"""	"99°38'4"""	"ELECTRIFICACION"	"103"		"INDEPENDENCIA"		"MEXICO"	"Toluca"	"50070"
"AAZEE0900211"	"ANGAR AZCAPOTZALCO, S.A. DE C.V."	811111	"Reparación mecánica en general de automóviles y camiones."	"Otros"	"EE"	"Centros distribuidores de autotransportes"	"COMPRA VENTA DE AUTOS NUEVOS Y MANTENIMIENTO AUTOMOTRIZ"				"19°28'58"""	"99°10'28"""	"AVENIDA DE LAS GRANJAS"	"473"		"BARRIO DEL JAGUEY"		"DISTRITO FEDERAL"	"Azcapotzalco"	"02530"
"ABA5N1605311"	"Agroindustrias del Balsas, S.A. de C.V."	325310	"Fabricación de fertilizantes."	"Quimica"	"5N"	"Produccion de fertilizantes quimicos"	"PRODUCCIÓN  DE FERTILIZANTES QUÍMICOS (SÓLO INCLUYE SU PRODUCCIÓN MEDIANTE REACCIONES QUÍM"	"RECINTO PORTUARIO"			"17°55'0"""	"102°12'0"""	"ISLA DE ENMEDIO"	"SN"			"LAZARO CARDENAS"	"MICHOACAN"	"Lazaro Cardenas"	"60950"
"ABA6E1505111"	"ABA S.A. DE C.V."	326110	"Fabricación de bolsas y películas de plástico flexible."	"Articulos y productos plasticos"	"ZA"	"Produccion de telas y laminados plasticos"	"FABRICACION PELICULA PLASTICA"				"19°17'11"""	"99°30'40"""	"ALMAMO SN"	"SN"		"LA ESTACION"	"LERMA"	"MEXICO"	"Lerma"	"52000"
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	325920	"Fabricación de explosivos."	"Quimica"	"62"	"Produccion de explosivos"	"PRODUCCIÓN DE EXPLOSIVOS (NO INCLUYE FUEGOS ARTIFICIALES)."	"ÁREA RURAL"			"25°43'40"""	"103°38'24"""	"DOMICILIO CONOCIDO"	"SN"		"NA"	"DINAMITA"	"DURANGO"	"Gomez Palacio"	"35100"
"ABCHM0900411"	"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER I.A.P.    UNIDAD SANTA FE"	622111	"Hospitales generales del sector privado."	"Servicios de salud y de asistencia"	"HM"	"Hospitales"	"ATENCION MEDICA Y HOSPITALARIA"				"19°21'25"""	"99°16'56"""	"Graef Fernndez"	"154"		"Tlaxala"		"DISTRITO FEDERAL"	"Cuajimalpa de Morelos"	"05300"
"ABCHM0901021"	"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER I. A. P. UNIDAD OBSERVATORIO"	622111	"Hospitales generales del sector privado."	"Servicios de salud y de asistencia"	"HM"	"Hospitales"	"ATENCIÓN MÉDICA Y HOSPITALARIA"				"19°20'0"""	"99°12'14"""	"SUR 136"	"116"		"LAS AMÉRICAS"		"DISTRITO FEDERAL"	"Alvaro Obregon"	"01120"
"ABC8A0200411"	"ALUMINIO DE BAJA CALIFORNIA S.A. DE C.V."	332810	"Recubrimientos y terminados metálicos."	"Quimica"	"QU"	"Anodizado de aluminio"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."				"32°25'44"""	"117°1'52"""	"KM.16.432 CARRETERA LIBRE TIJUANA-ENSENA"	"0"	"0"	"SAN ANTONIO DE LOS BUENOS"	"TIJUANA"	"BAJA CALIFORNIA"	"Tijuana"	"22563"
"ABE5Q1507011"	"ACABADOS BETA S.A"	325211	"Fabricación de resinas sintéticas."	"Quimica"	"5Q"	"Produccion de resinas sinteticas"	"PRODUCCIÓN DE RESINAS SINTÉTICAS (INCLUYE PLASTIFICANTES)."				"19°21'58"""	"98°57'52"""	"FERROCARRIL MEXICO - ACAPULCO-RIO FRIO"	"350"		"LA MAGDALENA ATLICPAC"	"LOS REYES LA PAZ"	"MEXICO"	"La Paz"	"56500"
