"NRA"	"Nombre"	"Sector"	"Actividad principal SEMARNAT"	"Actividad principal"	"Coordenada UTM X"	"Coordenada UTM Y"	"Latitud Norte"	"Longitud Oeste"	"Estado"	"Delegación\Municipio"	"Calle"	"No. Exterior"	"No. Interior"	"Entre calle 1"	"Entre calle 2"	"Colonia"	"Localidad"	"Parque o puerto industrial"	"Código postal"
"AAG8A1403911"	"ALVARADO GARCIA JESUS"	"Quimica"	"Galvanoplastia"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."	0	0	20.64233	-103.34879	"JALISCO"	"Guadalajara"	"CALLE 10 A"	2083		"CALLE 9"	"CALLE 11"	"FERROCARRIL"	"GUADALAJARA"	"GUADALAJARA ZONA MIXTA"	44440
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica) "	"Fundicion y moldeo de piezas de metales no ferrosos"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS."	1961282	2710708	21.95113	-102.32801	"AGUASCALIENTES"	"Jesus Maria"	"AVENIDA GUADALUPE"	224		"NARANJO"	"INDEPENDENCIA"	"MARAVILLAS"	"MARAVILLAS"		20900
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS"	"Metalurgica (incluye la siderurgica) "	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	0	0	19.57988	-99.20186	"MEXICO"	"Tlalnepantla de Baz"	"VIA GUSTAVO BAZ"	4874		"MELCHOR OCAMPO"	"CALLE MÉXICO"	"SAN PEDRO BARRIENTOS"	"TLALNEPANTLA"	"BARRIENTOS"	54100
"AAL7Q1510911"	"AZINSA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica) "	"Afinacion y laminacion de aluminio"	"LAMINACION DE ALUMINIO (INCLUYE FUNDICION EXTRUSION O ESTIRAJE)."	0	0	19.64103	-99.1526	"MEXICO"	"Tultitlan"	"AV. DOS PASANDO POR UN VERIFICENTRO"	4	4	"AV. UNO"	"VIA LOPEZ MATEOS"	"FRACCIONAMIENTO INDUSTRIAL CARTAGENA"	"TULTITLAN"	"FRACCIONAMIENTO INDUSTRIAL CARTAGENA"	54900
"AAM5E0901411"	"FRANCISCO JOSE ALCANTARA MARTINEZ"	"Otros"	"Edicion, Encuadernacion y/o impresion"	"IMPRENTA"	0	0	"19°23'21"""	"99°09'05"""	"DISTRITO FEDERAL"	"Benito Juarez"	"DR. VERTIZ"	"871 BIS"				"NARVARTE"			3020
"AAM8V0800511"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"CORTE Y PROCESO DE CABLE AUTOMOTRIZ"	0	0	31.08714	-108.0036	"CHIHUAHUA"	"Ascension"	"AVE. DEL CARMEN 1206"	1206		"PASEO DEL ESPARCEÑO"	"DIAGONAL ESPERANZA"	"CENTRO"	"ASCENSION"		31821
"AAM8V0803711"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE.C.V.PLANTA 1"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"MANUFACTURA DE ARNESES AUTOMOTRICES"	362280	3506744	31.69057	-106.45475	"CHIHUAHUA"	"Juarez"	"CHAMIZAL CRUCE CON CALLE MAGNETO"	950		"MAGNETO"		"NA"	"JUAREZ"	"PARQUE INDISTRIAL GEMA"	32630
"AAM8V0803712"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V. PLANTA 2"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"MANUFACTURA DE ARNESES AUTOMOTRICES"	362491.6	3506742.07	31.69019	-106.45333	"CHIHUAHUA"	"Juarez"	"CHAMIZAL Y MAGNETO"	524		"MAGNETO"		"PARQUE GEMA"	"JUAREZ"	"GEMA"	32630
"AAM8V0803715"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V. PLANTA 7"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"MANUFACTURA DE ARNESES AUTOMOTRICES"	362779.6	3506615.06	31.69026	-106.45129	"CHIHUAHUA"	"Juarez"	"AUXILIAR"	220		"AV. DE LOS DEPORTISTAS"		"PARQUE GEMA"	"JUAREZ"	"GEMA"	32630
"AAM952603012"	"AMP Amermex S.A. de C.V. Planta I"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Ensamble de Cables y arneses electrónicos"	0	0	"29°5'42"""	"0.11°59'44"""	"SONORA"	"Hermosillo"	"Avenida Obrero Mundial"	"No. 9"		"Avenida Tecnológico"	"Blvd. García Morales"	"Dynatech"	"Hermosillo"	"Paque Industrial Dynatech"	83200
"AAMRP1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"Automotriz "	"Produccion de otras auto partes"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	0	0	20.90493	-101.38575	"GUANAJUATO"	"Silao"	"COMERCIANTES"	1300		"PASEO INDUSTRIALES"		"PARQUE IND. FIPASI"	"SILAO"	"PARQUE INDUSTRIAL FIPASI"	36100
"AAU5U1904611"	"ACABADOS AUTOMOTRICES S.A. DE C.V."	"Pinturas y tintas "	"Produccion de pinturas, recubrimientos e impermeabilizantes"	"PRODUCCIÓN DE TODO TIPO DE PINTURAS, RECUBRIMIENTOS E IMPERMEABILIZANTES (EXCLUYE PRODUCTO"	0	0	"25°43'25.27"""	"100°16'46.10"""	"NUEVO LEON"	"San Nicolas de los Garza"	"DIEGO DIAZ DE BERLANGA"	251		"AVENIDA DE LA JUVENTUD"	"CALZADA VIA A MATAMOROS"	"IND. NOGALAR"	"SAN NICOLAS DE LOS GARZA"	"FRACCIONAMIENTO INDUSTRIAL NOGALAR"	66480
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"Quimica"	"Produccion de explosivos"	"PRODUCCIÓN DE EXPLOSIVOS (NO INCLUYE FUEGOS ARTIFICIALES)."	0	0	25.72484	-103.63808	"DURANGO"	"Gomez Palacio"	"DOMICILIO CONOCIDO"	"NA"	"NA"	"NA"	"NA"	"NA"	"DINAMITA"	"AREA RURAL"	35100
"ABM6M1503311"	"ACOGINAMIENTOS BLOQUES Y MAQUILA DE POLIURETANOS S.A. DE C.V."	"Quimica"	"Fabricacion de productos de espumas uretanicas"	"FABRICACIÓN DE PRODUCTOS DE ESPUMAS URETÁNICAS (SÓLO SI SE FABRICAN LAS SUBSTANCIAS BÁSICA"	0	0	"0°0'0"""	"0°0'0"""	"MEXICO"	"Ecatepec de Morelos"	"CALLE 5"	"SN"		"CALLE 6"	"CALLE 4"	"RUSTICA XALOSTOC"			55340
"ABP1Z2601811"	"ADM BIO PRODUCTOS S.A. DE C.V."	"Otros"	"Almacen de materiales, productos y otros"	"RECEPCION ALMACENAMIENTO Y DISTRIBUCION DE PASTAS PROTEICAS GRANOS ACEITES Y LECITINA DE S"	0	0	"27°28'46"""	"0.109°55'19"""	"SONORA"	"Cajeme"	"CARRETERA FEDERAL 15 KM 222.1"	1701		"SUFRAGIO EFECTIVO"	"FRENTE A COMPAÑIA EMBOTELLADORA NUEVO OB"		"CAJEME"	"ZONA INDUSTRIAL No 1"	85090
"ABPMC1000711"	"ADM BIO PRODUCTOS S.A. DE C.V."	"Quimica"	"Fabricacion de aceites y grasas alimenticias"	"PRODUCCIÓN DE ACEITES Y GRASAS CUANDO EN SU FABRICACIÓN EXISTE REACCIÓN QUÍMICA O EXTRACCI"	0	0	25.55178	-103.48431	"DURANGO"	"Gomez Palacio"	"BLVD. MIGUEL ALEMAN"	"Km."	11.4			"CENTRO"	"GOMEZ PALACIO"		35000
"ACC5U1901211"	"ARIES COIL COATINGS S.A. DE C.V."	"Pinturas y tintas "	"Produccion de pinturas, recubrimientos e impermeabilizantes"	"PRODUCCIÓN DE TODO TIPO DE PINTURAS, RECUBRIMIENTOS E IMPERMEABILIZANTES (EXCLUYE PRODUCTO"	0	0	"25°57'41.69"""	"100° 8'38.58"""	"NUEVO LEON"	"Cienega de Flores"	"CARRETERA MONTERREY LAREDO KM. 37.1"	"km 37.1"						"PARQUE INDUSTRIAL CIENEGA DE FLORES"	65550
