"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA
UTM X"	"COORDENADA
UTM Y"	"LATITUD NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AAA190000015"	"BELDEN LRC MEXICO S DE R.L. DE C.V.,BELDEN LRC MEXICO"	"334220"	"Fabricación de equipo de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"MANUFACTURA DE COMPONENTES ELECTRONICOS"		"368693.0927"	"2850093.9737"	"25°45'46"""	"100°18'33"""	"Avenida Av. Sendero Divisorio"	"500 "	"B1 "	"Privada TABACHINES"	"SAN NICOLAS DE LOS GARZA"	"NUEVO LEON"	"San Nicolas de los Garza"	"66425"
"AAGL70100111"	"AEROPUERTO DE AGUASCALIENTES SA DE CV,AEROPUERTO INTERNACIONAL DE AGUASCALIENTES"	"551111"	"Corporativos"	"Otros"	"L7"	"Servicios de administracion de aeropuertos y helipuertos"	"Servicios Aeroportuarios, comerciales y complementarios "		"780482.1602"	"2418722.0779"	"21°51'0"""	"102°17'10"""	"Calle CARRETERA PANAMERICANA SUR"	"KM.22 "	" "	"Colonia PE¿UELAS"	"AGUASCALIENTES"	"AGUASCALIENTES"	"Aguascalientes"	"20340"
"AAG1403901019"	"JESUS ALVARADO GARCIA,TALLER DEL SR. JESUS ALVARADO"	"339999"	"Otras industrias manufactureras"	"Quimica"	"8A"	"Galvanoplastia"	"MAQUILA DE GALVANOPLASTIA"		"671986.3405"	"2283474.4223"	"20°38'33"""	"103°20'57"""	"Calle  10a"	"2083 "	" "	"Colonia FERROCARRIL"	"GUADALAJARA"	"JALISCO"	"Guadalajara"	"44440"
"AAL7Q1503321"	"ALMEXA ALUMINIO SA DE CV,"	"331310"	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"TRANSFORMACIÓN DE ALUMINIO"		"494746.4971"	"2162444.2738"	"19°33'24"""	"99°3'0"""	"Calle VIA MORELOS"	"347 "	" "	"Colonia STA. MARIA TULPETLAC"	"ECATEPEC DE MORELOS"	"MEXICO"	"Ecatepec de Morelos"	"55400"
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A DE C.V,AZINSA ALUMINIO, S.A. DE C.V."	"331310"	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACION DE ALUMINIO (INCLUYE FUNDICION, EXTRUSION O ESTIRAJE)"		"483998.7598"	"2171967.9268"	"19°38'34"""	"99°9'9"""	"Calle AV. DOS"	"4 "	" "	"Colonia FRACC. INDUSTRIAL CARTAGENA"	"TULTITLAN DE MARIANO ESCOBEDO"	"MEXICO"	"Tultitlan"	"54900"
"AAM1503900040"	"ACEROS AMERICA S.A. DE C.V.,"	"331220"	"Fabricación de otros productos de hierro y acero"	"Metalurgica (incluye la siderurgica)"	"7I"	"Laminacion secundaria de hierro y acero"	"LAMINACIÓN DE VARILLA Y SIMILARES"		"505305.747"	"2137438.0757"	"19°19'51"""	"98°56'58"""	"Calle Seminario"	"3 "	" "	"Colonia SAN JUAN TLALPIZAHUAC"	"IXTAPALUCA"	"MEXICO"	"Ixtapaluca"	"56576"
"AAM9I2803211"	"ARC AUTOMOTRIZ DE MEXICO, S. DE R.L. DE C.V.,"	"336320"	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"MANUFACTURA DE PAQUETE ENERGÉTICO E INFLADOR  PARA LA  INDUSTRIA  AUTOMOTRIZ"		"573886.4279"	"2875456.5873"	"25°59'45"""	"98°15'42"""	"Calle AVE. ALCALA S/N CARR. A SAN FERNANDO"	"KM.2 "	" "	"Colonia PARQUE IND. STIVA ALCALA"	"REYNOSA"	"TAMAULIPAS"	"Reynosa"	"88796"
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S DE RL DE CV,AMERICAN AXLE & MANUFACTURING DE MEXICO"	"336350"	"Fabricación de partes de sistemas de transmisión para vehículos automotores"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"COMERCIALIZADORA DE EJES Y AUTOPARTES"		"254545.9119"	"2311788.66"	"20°53'24"""	"101°21'34"""	"Calle AVENIDA DE LOS COMERCIANTES"	"1300 "	" "	"Colonia PARQUE INDUSTRIAL FIPASI"	"SILAO DE LA VICTORIA"	"GUANAJUATO"	"Silao"	"36100"
"AAU1903900165"	"AUTOKAM AUTOMOTRIZ S.A. DE C.V.,"	"811121"	"Hojalatería y pintura de automóviles y camiones"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"VENTA DE AUTOMOVILES Y REFACCIONES SERVICIO DE MANTTO. AUTOMOTRIZ LAMINADO Y PINTURA"		"371287.6752"	"2835859.9158"	"25°38'5"""	"100°16'55"""	"Avenida EUGENIO GARZA SADA"	"3800 "	" "	"Colonia MAS PALOMAS"	"MONTERREY"	"NUEVO LEON"	"Monterrey"	"64780"
"AAU2112800014"	"AUDI MEXICO, S.A DE C.V.,AUDI"	"336110"	"Fabricación de automóviles y camionetas"	"Automotriz"	"9G"	"Produccion de automoviles, camiones, tractocamiones y similares"	"FABRICACION DE AUTOMOVILES Y CAMIONETAS"	"SAN JOSE  CHIAPA"	"631151.4602"	"2125346.2759"	"19°13'2"""	"97°45'8"""	"Boulevard Q5"	"1 "	" "		"SAN JOSE CHIAPA"	"PUEBLA"	"San Jose Chiapa"	"75012"
"AAZEE0900211"	"ANGAR AZCAPOTZALCO S.A. DE C.V.,ANGAR AZCAPOTZALCO"	"468111"	"Comercio al por menor de automóviles y camionetas nuevos"	"Automotriz"	"9G"	"Produccion de automoviles, camiones, tractocamiones y similares"	"VENTA DE AUTOMÓVILES Y TALLER AUTOMOTRIZ"		"481717.006"	"2154350.8162"	"19°29'1"""	"99°10'27"""	"Calle AV. DE LAS GRANJAS"	"NO.473 "	" "	"Colonia BARRIO JAGUEY"	"AZCAPOTZALCO"	"DISTRITO FEDERAL"	"Azcapotzalco"	"02530"
"ABA1605200103"	"AGROINDUSTRIAS DEL BALSAS S.A. DE C.V.,AGROINDUSTRIAS DEL BALSAS, S.A. DE C.V."	"325310"	"Fabricación de fertilizantes"	"Quimica"	"5N"	"Produccion de fertilizantes quimicos"	"PRODUCCIÓN DE FERTILIZANTES QUIMICOS"	"CENTRO"	"799214.3149"	"1983946.6084"	"17°55'23"""	"102°10'32"""	"Ninguno Sin Numero"	"SIN NUMERO "	"SIN NUMERO "		"CIUDAD LAZARO CARDENAS"	"MICHOACAN"	"Lazaro Cardenas"	"60950"
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V.,AUSTIN BACIS"	"325920"	"Fabricación de explosivos"	"Quimica"	"62"	"Produccion de explosivos"	"FABRICACION DE EXPLOSIVOS"		"635820.9639"	"2845201.5687"	"25°43'6"""	"103°38'46"""	"Carretera DOM. CONOCIDO, DINAMITA"	"SN "	" "	"Pueblo DINAMITA"	"GOMEZ PALACIO"	"DURANGO"	"Gomez Palacio"	"35100"
