"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA 
UTM X"	"COORDENADA 
UTM Y"	"LATITUD 
NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AAA190000015"	"BELDEN LRC MEXICO S DE R.L. DE C.V.,BELDEN LRC MEXICO"	"334410"	"Fabricación de componentes electrónicos"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"MANUFACTURA DE COMPONENTES ELECTRONICOS"				"25°45'46"""	"100°18'33"""	"Avenida Av. Sendero Divisorio"	"500 "	"B1 "	"Privada TABACHINES"	"San Nicolás de los Garza"	"NUEVO LEON"	"San Nicolas de los Garza"	"66425"
"AAG1403901019"	"JESUS ALVARADO GARCIA,TALLER DEL SR. JESUS ALVARADO"	"332810"	"Recubrimientos y terminados metálicos"	"Quimica"	"8A"	"Galvanoplastia"	"MAQUILA DE GALVANOPLASTIA"				"20°38'33"""	"103°20'57"""	"Calle  10a"	"2083 "	" "	"Colonia FERROCARRIL"	"Guadalajara"	"JALISCO"	"Guadalajara"	"44440"
"AAL7Q1503321"	"ALMEXA ALUMINIO SA DE CV,"	"331310"	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"TRANSFORMACION DE ALUMINIO"				"19°33'36"""	"99°2'52"""	"Calle VIA MORELOS"	"347 "	" "	"Colonia STA. MARIA TULPETLAC"	"Ecatepec de Morelos"	"MEXICO"	"Ecatepec de Morelos"	"55400"
"AAMKE2500111"	"AGENCIA AUTOMOTRIZ DE LOS MOCHIS S.A. DE C.V.,NISSAN LOS MOCHIS"	"468111"	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Compra venta de vehiculos  nuevos y usados"				"25°47'55"""	"108°59'13"""	"Calle ALFONSO CANO"	"SIN NUMERO 300"	" "	"Ciudad LOS MOCHIS"	"Los Mochis"	"SINALOA"	"Ahome"	"81200"
"AAM1103700081"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S DE RL DE CV,MAERICAN AXLE & MANUFACTURING"	"436112"	"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones"	"Otros"	"B2"	"Alquiler, renta o venta de equipos,aparatos, instrumentos  y otros"	"COMERCIALIZADORA DE EJES Y AUTOPARTES"	"SILAO CENTRO"			"20°53'57"""	"101°23'50"""	"Avenida Av. Comerciantes"	"1300 "	" "		"Silao de la Victoria"	"GUANAJUATO"	"Silao"	"36100"
"AAM1503900040"	"ACEROS AMERICA S.A. DE C.V.,"	"331111"	"Complejos siderúrgicos"	"Metalurgica (incluye la siderurgica)"	"7I"	"Laminacion secundaria de hierro y acero"	"LAMINACIÓN DE VARILLA Y SIMILARES"				"19°19'51"""	"98°56'58"""	"Calle Seminario"	"3 "	" "	"Colonia SAN JUAN TLALPIZAHUAC"	"Ixtapaluca"	"MEXICO"	"Ixtapaluca"	"56576"
"AAM9I2803211"	"ARC AUTOMOTRIZ DE MEXICO, S. DE R.L. DE C.V.,"	"336390"	"Fabricación de otras partes para vehículos automotrices"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"MANUFACTURA DE PAQUETE ENERGÉTICO E INFLADOR  PARA LA  INDUSTRIA  AUTOMOTRIZ"				"25°59'45"""	"98°15'42"""	"Calle AVE. ALCALA S/N CARR. A SAN FERNANDO"	"KM.2 "	" "	"Colonia PARQUE IND. STIVA ALCALA"	"Reynosa"	"TAMAULIPAS"	"Reynosa"	"88796"
"AARKE1901911"	"ALIANZA AUTOMOTRIZ RIVERO S.A. DE C.V.,"	"811111"	"Reparación mecánica en general de automóviles y camiones"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Venta de Automoviles y Refacciones Servicio de Mantto. Automotriz"				"25°38'54"""	"100°21'33"""	"Calle AVE. GOMEZ MORIN"	"402 "	" "	"Colonia VILLA DE ARAGON"	"San Pedro Garza García"	"NUEVO LEON"	"San Pedro Garza Garcia"	"66273"
"AAU1903900165"	"AUTOKAM AUTOMOTRIZ S.A. DE C.V.,"	"811121"	"Hojalatería y pintura de automóviles y camiones"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"VENTA DE AUTOMOVILES Y REFACCIONES SERVICIO DE MANTTO. AUTOMOTRIZ LAMINADO Y PINTURA"				"25°38'5"""	"100°16'55"""	"Avenida EUGENIO GARZA SADA"	"3800 "	" "	"Colonia MAS PALOMAS"	"Monterrey"	"NUEVO LEON"	"Monterrey"	"64780"
"ABA1605200103"	"AGROINDUSTRIAS DEL BALSAS S.A. DE C.V.,AGROINDUSTRIAS DEL BALSAS, S.A. DE C.V."	"325310"	"Fabricación de fertilizantes"	"Quimica"	"5N"	"Produccion de fertilizantes quimicos"	"PRODUCCIÓN DE FERTILIZANTES QUIMICOS"	"CENTRO"			"17°55'23"""	"102°10'32"""	"Ninguno Sin Numero"	"SIN NUMERO "	"SIN NUMERO "		"Ciudad Lázaro Cárdenas"	"MICHOACAN"	"Lazaro Cardenas"	"60950"
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V.,AUSTIN BACIS"	"325920"	"Fabricación de explosivos"	"Quimica"	"62"	"Produccion de explosivos"	"FABRICACION DE EXPLOSIVOS"				"25°43'6"""	"103°38'46"""	"Carretera DOM. CONOCIDO, DINAMITA"	"SN "	" "	"Colonia DINAMITA"	"Gómez Palacio"	"DURANGO"	"Gomez Palacio"	"35100"
"ABCHM0900411"	"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER I.A.P.,CENTRO MÉDICO ABC"	"622311"	"Hospitales del sector privado de otras especialidades médicas"	"Servicios de salud y de asistencia"	"HM"	"Hospitales"	"Servicios médicos y hospitalarios"				"19°21'24"""	"99°16'59"""	"Calle CARLOS GRAEF FERANDEZ"	"154 "	" "	"Colonia TLAXALA SANTA FE"	"San Lorenzo Acopilco"	"DISTRITO FEDERAL"	"Cuajimalpa de Morelos"	"05300"
"ABCHM0901021"	"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER I.A.P.,CENTRO MÉDICO ABC"	"622311"	"Hospitales del sector privado de otras especialidades médicas"	"Servicios de salud y de asistencia"	"HM"	"Hospitales"	"Servicios médicos y hospitalarios"				"19°24'0"""	"99°12'15"""	"Calle SUR  136"	"116 "	" "	"Colonia LAS AMERICAS"	"Álvaro Obregón"	"DISTRITO FEDERAL"	"Alvaro Obregon"	"01120"
