"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA 
UTM X"	"COORDENADA 
UTM Y"	"LATITUD 
NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AAA190000015"	"BELDEN LRC MEXICO S DE R.L. DE C.V.,BELDEN LRC MEXICO"	"334220"	"Fabricación de equipo de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"MANUFACTURA DE COMPONENTES ELECTRONICOS"		"368693.0927"	"2850093.9737"	"25°45'46"""	"100°18'33"""	"Avenida Av. Sendero Divisorio"	"500"	"B1"	"Privada TABACHINES"	"San Nicolás de los Garza"	"NUEVO LEON"	"San Nicolas de los Garza"	"66425"
"AAGL70100111"	"AEROPUERTO DE AGUASCALIENTES SA DE CV,AEROPUERTO INTERNACIONAL DE AGUASCALIENTES"	"551111"	"Corporativos"	"Otros"	"L7"	"Servicios de administracion de aeropuertos y helipuertos"	"Servicios Aeroportuarios, comerciales y complementarios"		"780482.1602"	"2418722.0779"	"21°51'0"""	"102°17'10"""	"Calle CARRETERA PANAMERICANA SUR"	"KM.22"		"Colonia PE¿UELAS"	"Aguascalientes"	"AGUASCALIENTES"	"Aguascalientes"	"20340"
"AAG1403901019"	"JESUS ALVARADO GARCIA,TALLER DEL SR. JESUS ALVARADO"	"339999"	"Otras industrias manufactureras"	"Quimica"	"8A"	"Galvanoplastia"	"MAQUILA DE GALVANOPLASTIA"		"671986.3405"	"2283474.4223"	"20°38'33"""	"103°20'57"""	"Calle  10a"	"2083"		"Colonia FERROCARRIL"	"Guadalajara"	"JALISCO"	"Guadalajara"	"44440"
"AAL7Q1503321"	"ALMEXA ALUMINIO SA DE CV,"	"339999"	"Otras industrias manufactureras"	"Metalurgica (incluye la siderurgica)"	"LJ"	"Fundicion de chatarra de fierro, de aluminio, de bronce, de plomo y de otros materiales metalicos"	"TRANSFORMACION DE ALUMINIO"		"494987.9919"	"2162796.0933"	"19°33'36"""	"99°2'52"""	"Calle VIA MORELOS"	"347"		"Colonia STA. MARIA TULPETLAC"	"Ecatepec de Morelos"	"MEXICO"	"Ecatepec de Morelos"	"55400"
"AAM1503900040"	"ACEROS AMERICA S.A. DE C.V.,"	"331220"	"Fabricación de otros productos de hierro y acero"	"Metalurgica (incluye la siderurgica)"	"7I"	"Laminacion secundaria de hierro y acero"	"LAMINACIÓN DE VARILLA Y SIMILARES"		"505305.747"	"2137438.0757"	"19°19'51"""	"98°56'58"""	"Calle Seminario"	"3"		"Colonia SAN JUAN TLALPIZAHUAC"	"Ixtapaluca"	"MEXICO"	"Ixtapaluca"	"56576"
"AAM7X2201411"	"AERNNOVA AEROSPACE MEXICO SA DE CV,AERNNOVA AEROSPACE MEXICO S.A. DE C.V."	"336410"	"Fabricación de equipo aeroespacial"	"Automotriz"	"9S"	"Industria aeroespacial"	"ENSAMBLE DE ESTRUCTURAS AERONAUTICAS"	"Querétaro"	"349628.9088"	"2302886.3681"	"20°49'11"""	"100°26'42"""	"Avenida BENITO JUAREZ"	"109"			"Santa Rosa Jáuregui"	"QUERETARO"	"Queretaro"	"76220"
"AAM9I2803211"	"ARC AUTOMOTRIZ DE MEXICO, S. DE R.L. DE C.V.,"	"339999"	"Otras industrias manufactureras"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"MANUFACTURA DE PAQUETE ENERGÉTICO E INFLADOR  PARA LA  INDUSTRIA  AUTOMOTRIZ"		"573886.4279"	"2875456.5873"	"25°59'45"""	"98°15'42"""	"Calle AVE. ALCALA S/N CARR. A SAN FERNANDO"	"KM.2"		"Colonia PARQUE IND. STIVA ALCALA"	"Reynosa"	"TAMAULIPAS"	"Reynosa"	"88796"
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S DE RL DE CV,AMERICAN AXLE & MANUFACTURING DE MEXICO"	"332110"	"Fabricación de productos metálicos forjados y troquelados"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"COMERCIALIZADORA DE EJES Y AUTOPARTES"		"254545.9119"	"2311788.66"	"20°53'24"""	"101°21'34"""	"Calle AVENIDA DE LOS COMERCIANTES"	"1300"		"Colonia PARQUE INDUSTRIAL FIPASI"	"Silao de la Victoria"	"GUANAJUATO"	"Silao"	"36100"
"AAU1903900165"	"AUTOKAM AUTOMOTRIZ S.A. DE C.V.,"	"811121"	"Hojalatería y pintura de automóviles y camiones"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"VENTA DE AUTOMOVILES Y REFACCIONES SERVICIO DE MANTTO. AUTOMOTRIZ LAMINADO Y PINTURA"		"371287.6752"	"2835859.9158"	"25°38'5"""	"100°16'55"""	"Avenida EUGENIO GARZA SADA"	"3800"		"Colonia MAS PALOMAS"	"Monterrey"	"NUEVO LEON"	"Monterrey"	"64780"
"AAU2112800014"	"AUDI MEXICO, S.A DE C.V.,AUDI"	"336110"	"Fabricación de automóviles y camionetas"	"Automotriz"	"9G"	"Produccion de automoviles, camiones, tractocamiones y similares"	"FABRICACION DE AUTOMOVILES Y CAMIONETAS"	"SAN JOSE  CHIAPA"	"631151.4602"	"2125346.2759"	"19°13'2"""	"97°45'8"""	"Boulevard Q5"	"1"			"San José Chiapa"	"PUEBLA"	"San Jose Chiapa"	"75012"
"AAZEE0900211"	"ANGAR AZCAPOTZALCO S.A. DE C.V.,ANGAR AZCAPOTZALCO"	"468111"	"Comercio al por menor de automóviles y camionetas nuevos"	"Automotriz"	"9G"	"Produccion de automoviles, camiones, tractocamiones y similares"	"VENTA DE AUTOMÓVILES Y TALLER AUTOMOTRIZ"		"481717.006"	"2154350.8162"	"19°29'1"""	"99°10'27"""	"Calle AV. DE LAS GRANJAS"	"NO.473"		"Colonia BARRIO JAGUEY"	"Azcapotzalco"	"DISTRITO FEDERAL"	"Azcapotzalco"	"02530"
