"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA
UTM X"	"COORDENADA
UTM Y"	"LATITUD NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AAA3110200079"	"JUSTINA ANSELMA ABASCAL ALMADA,GRANJA PORCICOLA YALCOBA SITIO 3"	112211	"Explotación de porcinos en granja"	"Alimenticio y/o de consumo humano"	"1M"	"Matanza de ganado y aves"	"GRANJA PORCICOLA"		389389.4295	2288304.2371	"20°41'27"""	"88°3'43"""	"Camino 7.0 KM AL NORESTE DEL KM 9+000 DE LA CARRETERA VALLADOLID-CHEMAX"	"SN "	"SN "	"Pueblo YALCOBA"	"YALCOBA"	"Yucatán"	"Valladolid"	"97794"
"AAE0901700310"	"AEROPLASA AEROPUERTO SA DE CV,"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"COMPRA VENTA DE AUTOMÓVILES NUEVOS Y USADOS CON SERVICIO AUTOMOTRIZ "		490224.004	2147859.0763	"19°25'30"""	"99°5'35"""	"Boulevard  PUERTO AEREO"	"141 "	" "	"Colonia FEDERAL"	"VENUSTIANO CARRANZA"	"Ciudad de México"	"Venustiano Carranza"	"15700"
"AAG1403901019"	"JESUS ALVARADO GARCIA,TALLER DEL SR. JESUS ALVARADO"	332810	"Recubrimientos y terminados metálicos"	"Quimica"	"8A"	"Galvanoplastia"	"MAQUILA DE GALVANOPLASTIA"		671986.3405	2283474.4223	"20°38'33"""	"103°20'57"""	"Calle  10a"	"2083 "	" "	"Colonia FERROCARRIL"	"GUADALAJARA"	"Jalisco"	"Guadalajara"	"44440"
"AAL1512102650"	"ALMEXA ALUMINIO SA DE CV,"	331310	"Industria básica del aluminio"	"Cemento y Cal"	"LJ"	"Fundicion de chatarra de fierro, de aluminio, de bronce, de plomo y de otros materiales metalicos"	"FUNDICIÓN Y LAMINACIÓN DE ALUMINIO"		478326.458	2171540.3221	"19°38'20"""	"99°12'24"""	"Calle BENJAMIN FRANKLIN"	"9 "	" "	"Colonia CONJUNTO IND. LA JOYA"	"CUAUTITLAN IZCALLI"	"México"	"Cuautitlán Izcalli"	"54730"
"AAL7Q1503321"	"ALMEXA ALUMINIO SA DE CV,"	331310	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"TRANSFORMACIÓN DE ALUMINIO"		494746.4971	2162444.2738	"19°33'24"""	"99°3'0"""	"Calle VIA MORELOS"	"347 "	" "	"Colonia STA. MARIA TULPETLAC"	"ECATEPEC DE MORELOS"	"México"	"Ecatepec de Morelos"	"55400"
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A.P.I. DE C.V.,"	331310	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACION DE ALUMINIO (INCLUYE FUNDICION, EXTRUSION O ESTIRAJE)"		483998.7598	2171967.9268	"19°38'34"""	"99°9'9"""	"Calle AV. DOS"	"4 "	" "	"Colonia FRACC. INDUSTRIAL CARTAGENA"	"TULTITLAN DE MARIANO ESCOBEDO"	"México"	"Tultitlán"	"54900"
"AAM1103700017"	"ASAHI ALUMINIUM MEXICO, S.A. DE C.V.,ASAHI"	331520	"Moldeo por fundición de piezas metálicas no ferrosas"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"Fabricación de Partes de Aluminio para Motores y Transmisiones"	"PUERTO INTERIOR"	242476.2698	2325538.4811	"21°0'45"""	"101°28'39"""	"Avenida  DE MINERAL DE VALENCIANA"	"140 "	" "		"SILAO DE LA VICTORIA"	"Guanajuato"	"Silao de la Victoria"	"36275"
"AAM1503900040"	"ACEROS AMERICA S.A. DE C.V.,"	331111	"Complejos siderúrgicos"	"Metalurgica (incluye la siderurgica)"	"7I"	"Laminacion secundaria de hierro y acero"	"LAMINACIÓN DE VARILLA Y SIMILARES"		505305.747	2137438.0757	"19°19'51"""	"98°56'58"""	"Calle Seminario"	"3 "	" "	"Colonia SAN JUAN TLALPIZAHUAC"	"IXTAPALUCA"	"México"	"Ixtapaluca"	"56576"
"AAM2402800314"	"AISAN AUTOPARTES MÉXICO, S.A. DE C.V.,"	336310	"Fabricación de motores y sus partes para vehículos automotrices"	"Automotriz"	"9I"	"Produccion de motores automotrices a gasolina y diesel"	"Manufactura y venta de partes automotrices"		312936.8919	2447357.0094	"22°7'16"""	"100°48'48"""	"Calle CIRCUITO SAN MIGUELITO PONIENTE"	"106 "	" "	"Colonia CIUDAD SATELITE"	"SAN LUIS POTOSI"	"San Luis Potosí"	"San Luis Potosí"	"78423"
"AAM2603000075"	"AMP AMERMEX SA DE CV,AMP AMERMEX, S.A. DE C.V. PLANTA QUIROGA"	334410	"Fabricación de componentes electrónicos"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Producción, Manufactura y Ensamble de Productos de Interconexion y de todas clases de Arti"	"EL LLANO"	497722.1676	3218864.3483	"29°5'53"""	"111°1'24"""	"Boulevard ANTONIO QUIROGA"	"22 "	" "		"HERMOSILLO"	"Sonora"	"Hermosillo"	"83210"
