"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA 
UTM X"	"COORDENADA 
UTM Y"	"LATITUD 
NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AAG8A1403911"	"JESUS ALVARADO GARCIA"	"332810"	"Recubrimientos y terminados metálicos"	"Quimica"	"8A"	"Galvanoplastia"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."				"20°38'27"""	"103°20'55"""	"CALLE 10A"	"2083"		"FERROCARRIL"	"GDL"	"JALISCO"	"Guadalajara"	"44440"
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A. DE C.V."	"811111"	"Reparación mecánica en general de automóviles y camiones"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"COMPRA, VENTA Y MANTENIMIENTO DE AUTOS MARCA NISSAN"				"18°53'25"""	"99°13'42"""	"AV. MORELOS SUR"	"35"		"EL POLVORÍN"	"CUERNAVACA"	"MORELOS"	"Cuernavaca"	"62076"
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"331520"	"Moldeo por fundición de piezas metálicas no ferrosas"	"Metalurgica (incluye la siderurgica)"	"ND"	"Fundicion  y moldeo de piezas de metales no ferrosos"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS."				"21°57'49"""	"102°19'37"""	"AVENIDA GUADALUPE"	"224"		"MARAVILLAS"	"MARAVILLAS"	"AGUASCALIENTES"	"Jesus Maria"	"20900"
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"331310"	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	"TULPETLAC"			"19°2'40"""	"99°33'50"""	"VIA MORELOS"	"347"		"SANTA MARIA TULPETLAC"	"TULPETLAC"	"MEXICO"	"Ecatepec de Morelos"	"55400"
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"331310"	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	"BARRIENTOS"			"19°34'58"""	"99°12'0"""	"VIA GUSTAVO BAZ"	"4874"		"SAN PEDRO BARRIENTOS"	"TLALNEPANTLA"	"MEXICO"	"Tlalnepantla de Baz"	"54100"
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A. DE C.V."	"331310"	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE)."	"PARQUE INDUSTRIAL CARTAGENA"			"19°38'42"""	"99°9'10"""	"AVENIDA DOS"	"4"		"PARQEU INDUSTRIAL CARTAGENA"	"TULTITLAN"	"MEXICO"	"Tultitlan"	"54900"
"AAN7L1510611"	"ACEROS ANGLO S.A .DE C.V."	"331111"	"Complejos siderúrgicos"	"Metalurgica (incluye la siderurgica)"	"7F"	"Laminacion primaria de hierro y acero"	"FABRICACION DE ACEROS ESPECIALES"	"ZONA INDUSTRIAL"			"19°17'40"""	"99°38'4"""	"ELECTRIFICACION"	"103"		"INDEPENDENCIA"		"MEXICO"	"Toluca"	"50070"
"AARKE1901911"	"ALIANZA AUTOMOTRIZ RIVERO S.A. DE C.V."	"811111"	"Reparación mecánica en general de automóviles y camiones"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"VENTA DE VEHICULOS NUEVOS Y REFACCIONES SERVICIO DE MANTTO. AUTOMOTRIZ"				"25°38'41"""	"100°21'39"""	"AV. GOMEZ MORIN"	"402"		"VILLA DE ARAGON"	"MONTERREY"	"NUEVO LEON"	"Monterrey"	"62220"
"ABA5N1605311"	"AGROINDUSTRIAS DEL BALSAS, S.A. DE C.V."	"325310"	"Fabricación de fertilizantes"	"Quimica"	"5N"	"Produccion de fertilizantes quimicos"	"FABRICACION DE FERTILIZANTES"	"RECINTO PORTUARIO"			"17°55'0"""	"102°12'0"""	"ISLA DE ENMEDIO"	"SN"			"LAZARO CARDENAS"	"MICHOACAN"	"Lazaro Cardenas"	"60950"
"ABA621000711"	"AUSTIN BACIS, S.A. DE C.V."	"325920"	"Fabricación de explosivos"	"Quimica"	"62"	"Produccion de explosivos"	"PRODUCCIÓN DE EXPLOSIVOS (NO INCLUYE FUEGOS ARTIFICIALES)."	"AREA RURAL"			"25°43'32"""	"103°38'17"""	"DOMICILIO CONOCIDO"	"SN"		"NA"	"DINAMITA"	"DURANGO"	"Gomez Palacio"	"35100"
