actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
ENSAMBLE DE INTERRUPTORES COMERCIALES AUTOMOTRICES Y COMPONENTES ELECTRICOS	Atributo no considerado en este año	2012	AV, VALLE DE LOS CEDROS	91	32690.0	PARQUE  INDUSTRIAL INTERMEX	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores.	FENIX	AV. INTERMEX	ZF ELECTRONICS DE MEXICO S. DE R.L. DE C.V.	CHIHUAHUA	"31°37'57"""		"106°23'20"""	Juarez	ZEM910803711	1650		PARQUE  INDUSTRIAL  INTERMEX	336320	Equipos y articulos electronicos, electricos y domesticos	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
RECEPCION ALMACENAMIENTO Y DISTRUBUCION DE GAS L.P.	Atributo no considerado en este año	2012	KM. 3.5 CARRETERA MANZANILLO-CUYUTLAN	M9	28809.0		Transporte por ductos de otros productos, excepto de productos refinados del petróleo.	POBLADO DE CAMPOS	PUENTE DE TEPALCATES	ZETA GAS DEL PACIFICO S.A. DE C.V.	COLIMA	"19°0'34"""	CAMPOS	"104°16'22"""	Manzanillo	ZEPQY0600711	KM. 3.5		LOCALIDAD CAMPOS	486990	Petroleo y petroquimica	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
ELABORACION DE LAMINA LITOGRAFIADO Y CORCHO	Atributo no considerado en este año	2012	CALZADA SAN JUAN DE ARAGON	52	7000.0	VILLA DE GUADALUPE	Otras industrias manufactureras.	ND	ND	ZAPATA HERMANOS SUCESORES S. A. DE C. V.	DISTRITO FEDERAL	"19°28'56"""		"99°6'32"""	Gustavo A. Madero	ZHS520900521	135			339999	Articulos y productos compuestos de diferentes materiales	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
PERFORACIN DE POZO PETROLEROS Y DE GAS	Atributo no considerado en este año	2012	AVENIDA AVIACION	R9	24180.0	PETROLERA	Perforación de pozos petroleros y de gas.	AVENIDA AEROPUERTO	AVENIDA PERIFERICA	ZACATECAS JACKUP S.A. DE C.V.	CAMPECHE	"18°36'18"""	CIUDAD DEL CARMEN	"91°50'7"""	Carmen	ZJAMG0400311	0	0		213111	Otros	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
PRODUCCIÓN DE FIBRAS Y FILAMENTOS SINTÉTICOS Y ARTIFICIALES (SÓLO SI  INVOLUCRA REACCIÓN Q	Atributo no considerado en este año	2012	CARRETERA A EL SALTO KM 3 S/N	5S	45680.0		Fabricación de fibras químicas.			ZOLTEK DE MEXICO, S.A. DE C.V.	JALISCO	"20°28'56"""	EL SALTO	"103°13'53"""	El Salto	ZME5S1407011	na		ZONA INDUSTRIAL	325220	Quimica	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
COMPRA, VENTA Y MANTENIMIENTO DE AUTOS NUEVOS Y USADOS	Atributo no considerado en este año	2012	CARRETERA VIA RAPIDA LECHERIA-TEXCOCO	KE	56100.0	TEXCOCO DE MORA	Reparación mecánica en general de automóviles y camiones.	VIA RAPIDA LECHERIATEXCOCO	MUNICIPIO DE TEXCOCO	ZAPATA MOTORS, S.A. DE C.V.	MEXICO	"19°31'33"""	TEXCOCO DE MORA	"98°53'50"""	Texcoco	ZMOEE1509911	KM 23			811111	Otros	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS.	Atributo no considerado en este año	2012	Avenida del Parque	7U	65550.0	Monterrey Technology Park	Fabricación de estructuras metálicas.	Avenida del Parque	Avenida Tecnologico	ZINKPOWER MONTERREY S.A. DE C.V.	NUEVO LEON	"25°53'47"""	Ciénega de Flores	"100°14'15"""	Cienega de Flores	ZMOND1901211	2120		Monterrey Technology Park	332310	Metalurgica (incluye la siderurgica)	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
PRODUCCIÓN DE CARTÓN Y CARTONCILLO (SI INVOLUCRA OPERACIONES TÉRMICAS; NO INCLUYE  LA MICR	Atributo no considerado en este año	2012	MANUEL M. PONCE	57	66450.0	LOMAS DEL ROBLE	Fabricación de cartón y cartoncillo a partir de pulpa.	MANUEL M. PONCE	PEDRO GALINDO	ZINC NACIONAL S.A. PLANTA DE CARTON Y CARTONCILLO	NUEVO LEON	"25°45'11"""		"100°19'18"""	San Nicolas de los Garza	ZNA571904611	SN		ZONA INDUSTRIAL	322132	Celulosa y papel	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
PRODUCCIÓN DE ÁCIDOS, BASES Y SALES INORGANICAS.	Atributo no considerado en este año	2012	M. M. PONCE	5I	66450.0	LOMAS DEL ROBLE	Fabricación de otros productos químicos básicos inorgánicos.	M. M. PONCE	PEDRO GALINDO	ZINC NACIONAL S.A.	NUEVO LEON	"25°44'43"""	SAN NICOLAS DE LOS GARZA	"100°19'15"""	San Nicolas de los Garza	ZNA5I1904611	SIN NUM		ZONA INDUSTRIAL	325180	Quimica	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
FABRICACION, COMPRA VENTA DE MOLDES Y ARTICULOS DE PLASTICO	Atributo no considerado en este año	2012	AV. TEJOCOTES	6E	54763.0	SAN MARTIN TEPETLIXPAN	Fabricación de otros productos de plástico sin reforzamiento.			ZELLER PLASTIK MEXICO, S.A. DE C.V.	MEXICO	"19°36'11"""		"99°12'27"""	Cuautitlan Izcalli	ZPM6E1512111	SN		SAN MARTIN OBISPO	326199	Articulos y productos plasticos	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SOLO GENERACIÓN INCLUYE LAS INSTALACIONES)	Atributo no considerado en este año	2012	KM 3.5 CARRETERA ZACAPU PANINDICUARO	AD	58616.0	CELANESE	Generación, transmisión y distribución de energía eléctrica.			ZACAPU POWER S. DE R.L. DE C.V.	MICHOACAN	"19°49'38"""	ZACAPU	"101°46'29"""	Zacapu	ZPOAD1610711	SN		ZONA INDUSTRIAL	221110	Generación de energía eléctrica	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
Fabricación y ensamble de sensores, cables, actuadores de uso automotriz y  relavadores	Atributo no considerado en este año	2012	AV. de la eficiencia	9M	21210.0	Parque Industrial Mexicali IV	Fabricación de otras partes para vehículos automotrices.	Acmex	Amistad Este	WABASH TECHNOLOGIES DE MEXICO, S. DE R.L. DE C.V.	BAJA CALIFORNIA	"32°40'53"""	Mexicali	"115°23'51"""	Mexicali	WTM9M0200211	2700		Parque Industrial Mexicali IV	336390	Automotriz	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
FUNDICIÓN DE CHATARRA DE FIERRO, DE ALUMINIO, DE BRONCE, DE PLOMO Y DE OTROS MATERIALES ME	Atributo no considerado en este año	2012	CERRADA DEL PROGRESO SUR	LJ	90970.0	SAN PEDRO	Moldeo por fundición de piezas de hierro y acero.	PROGRESO SUR	10  DE MARZO	RODOLFO SANTIAGO XINAXTLE GASPARIANO        FUNDIDORA SAN MIGUEL	TLAXCALA	"19°7'5"""	VILLA VICENTE GUERRERO	"98°12'15"""	San Pablo del Monte	XIGLJ2902521	15			331510	Metalurgica (incluye la siderurgica)	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
Elaboración, Almacenamiento y Distribución de Aguas y Bebidas Gaseosas	Atributo no considerado en este año	2012	Carretera Acapulco Pinotepa Nacional	36	39690.0	El Cayaco	Elaboración de refrescos y otras bebidas no alcohólicas.	Sin nombre	Emiliano Zapata	Yoli de Acapulco, S.A. de C.V. Planta Cayaco	GUERRERO	"16°51'7"""	Acapulco	"99°47'44"""	Acapulco de Juarez	YAC361200111	Km. 10.5			312111	Bebidas y tabaco	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
Almacenamiento, distribución de aguas y bebidas gaseosas	Atributo no considerado en este año	2012	Av. Vicente Guerrero	36	40000.0	Centro	Elaboración de refrescos y otras bebidas no alcohólicas.	Federal a Taxco	Asia	Yoli de Acapulco S.A. de C.V. Planta Iguala	GUERRERO	"18°20'59"""	Iguala	"99°31'59"""	Iguala de la Independencia	YACKE1203512	117			312111	Bebidas y tabaco	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
ELABORACION DE PRODUCTO LACTEO FERMENTADO Y FRASCO DE POLIESTIRENO	Atributo no considerado en este año	2012	KM. 30 DE LA CARRETERA FED MEXICO PUEBLA	ML	56530.0	SANTA BARBARA	Elaboración de derivados y fermentos lácteos.	CARRETERA IXTAPALUCA CHALCO	CALLE SIN NOMBRE	YAKULT S.A. DE C.V.	MEXICO	"19°18'59"""		"98°53'59"""	Ixtapaluca	YAKML1503911	0			311513	Alimenticio y/o de consumo humano	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
PRODUCCIÓN DE YESO Y SUS PRODUCTOS (SÓLO INCLUYE ESTOS ÚLTIMOS CUANDO SE ELABORA EL YESO).	Atributo no considerado en este año	2012	CARRETERA MEXICO NOGALES	75	85800.0	PARQUE INDUSTRIAL	Fabricación de yeso y productos de yeso.			YESO INDUSTRIAL DE NAVOJOA S.A. DE C.V.	SONORA	"27°0'20"""	NAVOJOA	"109°25'46"""	Navojoa	YIN752604211	KM.1778		PARQUE INDUSTRIAL DE NAVOJOA	327420	Cemento y Cal	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
PRODUCCIÓN DE PARTES PARA EL SISTEMA DE SUSPENSIÓN Y DIRECCIÓN (SI INCLUYE PROCESOS TÉRMIC	Atributo no considerado en este año	2012	KM. 18.8 CARR. AGUASCALIETNES  ZACATECAS	9K	20300.0		Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices.			YOROZU MEXICANA S.A. DE C.V.	AGUASCALIENTES	"22°2'54"""	SAN FRANCISCO DELOS ROMO	"102°16'31"""	San Francisco de los Romo	YME9K0101111				336330	Automotriz	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
PRODUCCION DE ARTICULOS DE METAL PARA PRENDAS DE VESTIR Y CALZADO	Atributo no considerado en este año	2012	CAMINO A SAN JOSE DE MARAÑON	7X	36826.0	EJIDO LAS MALVAS	Fabricación de otros productos metálicos.			YKK SNAP FASTENERS MANUFACTURA MEXICO S.A. DE C.V.	GUANAJUATO	"20°40'30"""	LAS MALVAS	"101°17'43"""	Irapuato	YSF461101711	380	B	PARQUE INDUSTRIAL LAS MALVAS	332999	Articulos y productos metalicos	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
PROCESO DE LAVANDERÍA, PLANCHADO Y TEÑIDO DE TODA CLASE DE PRENDAS	Atributo no considerado en este año	2012	AV. JOSEFA RAMIRO GAVILAN	TQ	73801.0	B. SAN DIEGO	Lavanderías y tintorerías.	ND	ND	ZAFRE, S.A. DE C.V.	PUEBLA	"19°51'33"""	TEZIUTLAN	"97°21'36"""	Teziutlan	ZAFTQ2117411	SN			812210	Otros	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
ELABORACION DE ESCALERAS DE ALUMINIO Y FIBRA DE VIDRIO	Atributo no considerado en este año	2012	AV.TAGUCHI	52	32674.0		Otras industrias manufactureras.	EJE VIAL JUAN GABRIEL	BARRANCO AZUL	WERNER LADDER DE MEXICO S DE RL DE CV	CHIHUAHUA	"31°38'42"""	CD JUAREZ	"106°27'18"""	Juarez	WLD520803711	251	251	PARQUE INDUSTRIAL NORTH GATE	339999	Articulos y productos compuestos de diferentes materiales	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
Frabricacion de chapas, candados y similares	Atributo no considerado en este año	2012	Calzada Industrial Nuevo Nogales	81	84094.0	Parque Industrial Nuevo Nogales	Fabricación de herrajes y cerraduras.	Avenida de la Tegnologia	Proceso Productivo	Weiser Lock Mexico S. de R. L. de C. V.	SONORA	"31°15'59"""	Nogales Sonora Mexico	"110°57'59"""	Nogales	WLM812604311	55			332510	Articulos y productos metalicos	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN).	Atributo no considerado en este año	2012	ALPHA	9M	25900.0	PARQUE INDUSTRIAL SANTA MARIA	Fabricación de otras partes para vehículos automotrices.	CARRETERA MONTERREY SALTILLO	SANTA MARIA	WF AMNUFACTURING S DE R.L. DE C.V	COAHUILA	"25°34'59"""	RAMOS ARIZPE	"100°53'53"""	Ramos Arizpe	WMA9M0502711	1655		PARQUE INDUSTRIAL SANTA MARIA	336390	Automotriz	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
MANUFACTURA DE PRENDAS DE VESTIR	Atributo no considerado en este año	2012	CARRETERA MIELERAS KM. 1.5	46	27277.0		Confección en serie de otra ropa exterior de materiales textiles.			WRANGLER DE MEXICO S.A. DE C.V. PLANTA COMPLEJO TORREON	COAHUILA	"25°31'21"""	TORREON	"103°21'58"""	Torreon	WME460503511			PARQUE INDUSTRIAL LAJAT	315229	Textiles, fibras e hilos	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
FABRICACION Y VENTA DE PAPEL SEMIKRAFT	Atributo no considerado en este año	2012	Km. 3.8	N2	91000.0	PREDIO LA YERBABUENA	Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados.	CARRETERA ANTIGUA XALAPA	COATEPEC	INTERNATIONAL PAPER EMP IND MEXICO SRL CV	VERACRUZ	"19°36'0"""	SAN ANDRES TLALNELHUAYOCAN	"96°59'0"""	Tlalnelhuayocan	WME563018211	Km. 3.8		CARRETERA ANTIGUA XALAPA-COATEPEC	322220	Celulosa y papel	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
ENSAMBLE DE PRODUCTOS ELECTRICOS Y ELECTRONICOS	Atributo no considerado en este año	2012	BAUDELIO PEREZ MUCHARRAS	8S	32700.0	ZARAGOZA DISTRITO BRAVOS	Fabricación de computadoras y equipo periférico.	PROLONGACION AV. CUAUHTEMOC	IGNACIO ZARAGOZA	WISTRON MEXICO, S.A. DE C.V.	CHIHUAHUA	"31°39'6"""	JUAREZ	"106°20'55"""	Juarez	WME910803721	420 OTE			334110	Equipos y articulos electronicos, electricos y domesticos	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
Renta Venta y Servicios de Herramientas Para la Industria Petrolera	Atributo no considerado en este año	2012	Carretera San Fernando km. 108	B2	88796.0	Beatriz Anaya	Alquiler de maquinaria y equipo para construcción, minería y actividades forestales.			Weatherford de Mexico S. de R.L. de C.V.	TAMAULIPAS	"26°0'31"""	Reynosa	"98°17'37"""	Reynosa	WMEB22803211	SN			532411	Otros	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
Servicios a la Industria Petrolera	Atributo no considerado en este año	2012	Brecha E-99	R9	88788.0	Parque Industrial Reynosa Sección Norte	Perforación de pozos petroleros y de gas.	ND	ND	Weatherford de México S. de R.L. de C.V.	TAMAULIPAS	"26°0'55"""	Reynosa	"98°13'28"""	Reynosa	WMEMG2803211	SN		Parque Industrial Reynosa	213111	Otros	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
Manuf.de comp.para motor de 2 y 4 tiempos, accesorios y modulos elec de ignicion.	Atributo no considerado en este año	2012	Blvd Macario Gaxiola	9M	81255.0	Zona Industrial	Fabricación de otras partes para vehículos automotrices.	na	na	Walbro Los Mochis S de RL de CV	SINALOA	"25°48'35"""	Los Mochis	"108°57'43"""	Ahome	WMO9M2500111	2924		Zona Industrial	336390	Automotriz	Atributo no considerado en este año	Atributo no considerado en este año	Atributo no considerado en este año
