actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
SERVICIOS DE ADMINISTRACION AEROPORTUARIA	Atributo no considerado en este año	2013	BLVD. DE LAS NACIONES	L7	39931.0	PLAN DE LOS AMATES	Administración de aeropuertos y helipuertos.	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE ACAPULCO, S.A. DE C.V.	GUERRERO	"16°45'41"""	ACAPULCO	"99°44'22"""	Acapulco de Juarez	AACL71200111	SN	SN	OTROS	488112.0	Otros	Servicios de administracion de aeropuertos y helipuertos		
FUNDICION Y MOLDEO DE PIEZAS DE BRONCE	Atributo no considerado en este año	2013	CHICHIMECAS	ND	32280.0	AZTECA	Moldeo por fundición de piezas metálicas no ferrosas.	Atributo no considerado en este año	Atributo no considerado en este año	EDITH ALVARADO CHAVARIN	CHIHUAHUA	"31°42'3"""		"106°27'48"""	Juarez	AAC0803700160	6703			331520.0	Metalurgica (incluye la siderurgica)	Fundicion  y moldeo de piezas de metales no ferrosos		
FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS.	Atributo no considerado en este año	2013	AVENIDA GUADALUPE	ND	20900.0	MARAVILLAS	Moldeo por fundición de piezas metálicas no ferrosas.	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AGUASCALIENTES	"21°57'49"""	MARAVILLAS	"102°19'37"""	Jesus Maria	AAGND0100511	224			331520.0	Metalurgica (incluye la siderurgica)	Fundicion  y moldeo de piezas de metales no ferrosos		
COMPRA VENTA Y MANTENIMIENTO MECANICO A UNIDADES AUTOMOTRICES	Atributo no considerado en este año	2013	BLVD. MIGUEL ALEMAN	KE	35000.0	CENTRO	Reparación mecánica en general de automóviles y camiones.	Atributo no considerado en este año	Atributo no considerado en este año	AUTOS ALAMEDA S.A. DE C.V.	DURANGO	"25°33'13"""	GOMEZ PALACIO	"103°30'11"""	Gomez Palacio	AAL1000700012	990	PTE		811111.0	Otros	Reparacion y mantenimiento automotriz		
AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE).	Atributo no considerado en este año	2013	VIA MORELOS	7Q	55400.0	SANTA MARIA TULPETLAC	Industria básica del aluminio.	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V.	MEXICO	"19°2'40"""	TULPETLAC	"99°33'50"""	Ecatepec de Morelos	AAL7Q1503321	347		TULPETLAC	331310.0	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio		
AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE).	Atributo no considerado en este año	2013	VIA GUSTAVO BAZ	7Q	54100.0	SAN PEDRO BARRIENTOS	Industria básica del aluminio.	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V	MEXICO	"19°34'58"""	TLALNEPANTLA	"99°12'0"""	Tlalnepantla de Baz	AAL7Q1510411	4874		BARRIENTOS	331310.0	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio		
AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE).	Atributo no considerado en este año	2013	AVENIDA DOS	7Q	54900.0	PARQEU INDUSTRIAL CARTAGENA	Industria básica del aluminio.	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO, S.A. DE C.V.	MEXICO	"19°38'42"""	TULTITLAN	"99°9'10"""	Tultitlan	AAL7Q1510911	4		PARQUE INDUSTRIAL CARTAGENA	331310.0	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio		
PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN).	Atributo no considerado en este año	2013	AV. COMERCIANTES	9M	36100.0	PARQUE INDUSTRIAL FIPASI	Fabricación de otras partes para vehículos automotrices.	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V.	GUANAJUATO	"20°54'55"""		"101°23'41"""	Silao	AAM9M1103711	1300	2A	PARQUE INDUSTRIAL FIPASI	336390.0	Automotriz	Produccion de otras auto partes		
VENTA Y REPARACIÓN DE AUTOMÓVILES	Atributo no considerado en este año	2013	CALZADA DE LA VIGA	EE	9080.0	MEXICALTZINGO	Reparación mecánica en general de automóviles y camiones.	Atributo no considerado en este año	Atributo no considerado en este año	AUTOMOVILÍSTICA ANDRADE, S.A. DE C.V.	DISTRITO FEDERAL	"19°21'21"""		"99°6'19"""	Iztapalapa	AANEE0900711	1880			811111.0	Otros	Centros distribuidores de autotransportes		
FABRICACION DE ACEROS ESPECIALES	Atributo no considerado en este año	2013	ELECTRIFICACION	7F	50070.0	INDEPENDENCIA	Complejos siderúrgicos.	Atributo no considerado en este año	Atributo no considerado en este año	ACEROS ANGLO S.A .DE C.V.	MEXICO	"19°17'40"""		"99°38'4"""	Toluca	AAN7L1510611	103		ZONA INDUSTRIAL	331111.0	Metalurgica (incluye la siderurgica)	Laminacion primaria de hierro y acero		
