"NRA"	"Nombre"	"Estado"	"Sector"	"Descripción"	"No. CAS"	"Unidad"	"Aire"	"Agua"	"Suelo"	"Reuso"	"Reciclado"	"Coprocesamiento"	"Tratamiento"	"Disposición final"	"Alcantarillado"	"Otros"	"Incineración"
"AAG8A1403911"	"ALVARADO GARCIA JESUS"	"JALISCO"	"Quimica"	"Arsénico"	"7440-38-2"	"ton/año"		0.00000246									
"AAG8A1403911"	"ALVARADO GARCIA JESUS"	"JALISCO"	"Quimica"	"Cadmio"	"7440-43-9"	"ton/año"		0.000000189									
"AAG8A1403911"	"ALVARADO GARCIA JESUS"	"JALISCO"	"Quimica"	"Cromo (compuestos)"	"S/C3"	"ton/año"	0.002	0.00000576									
"AAG8A1403911"	"ALVARADO GARCIA JESUS"	"JALISCO"	"Quimica"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.00000189									
"AAG8A1403911"	"ALVARADO GARCIA JESUS"	"JALISCO"	"Quimica"	"Níquel (compuestos)"	"S/C5"	"ton/año"	0.002	0.00001404							0.06		
"AAG8A1403911"	"ALVARADO GARCIA JESUS"	"JALISCO"	"Quimica"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00000018									
"AAG8A1403911"	"ALVARADO GARCIA JESUS"	"JALISCO"	"Quimica"	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.00001404									
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"AGUASCALIENTES"	"Metalurgica (incluye la siderurgica) "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00010298							0.00010298		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"AGUASCALIENTES"	"Metalurgica (incluye la siderurgica) "	"Mercurio"	"7439-97-6"	"ton/año"									0.000000076		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"AGUASCALIENTES"	"Metalurgica (incluye la siderurgica) "	"Arsénico"	"7440-38-2"	"ton/año"		0.00000207099							0.00000207099		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"AGUASCALIENTES"	"Metalurgica (incluye la siderurgica) "	"Cadmio"	"7440-43-9"	"ton/año"		0.00000969							0.00000969		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"AGUASCALIENTES"	"Metalurgica (incluye la siderurgica) "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000000076									
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"AGUASCALIENTES"	"Metalurgica (incluye la siderurgica) "	"Cromo (compuestos)"	"S/C3"	"ton/año"		0.000000988							0.000000988		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"AGUASCALIENTES"	"Metalurgica (incluye la siderurgica) "	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.00012777							0.00012777		
