"NRA"	"NOMBRE"	"SECTOR"	"ESTADO"	"MUNICIPIO"	"CAS"	"SUSTANCIA"	"UNIDAD"	"AIRE"	"AGUA"	"SUELO"	"REUTILIZACIÓN"	"RECICLADO"	"COPROCESAMIENTO"	"TRATAMIENTO"	"DISPOSICIÓN
FINAL"	"ALCANTARILLADO"	"INCINERACIÓN"	"OTROS"
"AAA3110200079"	"JUSTINA ANSELMA ABASCAL ALMADA,GRANJA PORCICOLA YALCOBA SITIO 3"	"Alimenticio y/o de consumo humano"	"Yucatán"	"Valladolid"	"Cr"	"Cromo (Compuestos solubles)"	"Kg"	0	0	2.0223	0	0	0	0	0	0	0	0
"AAA3110200079"	"JUSTINA ANSELMA ABASCAL ALMADA,GRANJA PORCICOLA YALCOBA SITIO 3"	"Alimenticio y/o de consumo humano"	"Yucatán"	"Valladolid"	"Ni"	"Níquel (Compuestos solubles)"	"Kg"	0	0	5.0559	0	0	0	0	0	0	0	0
"AAA3110200079"	"JUSTINA ANSELMA ABASCAL ALMADA,GRANJA PORCICOLA YALCOBA SITIO 3"	"Alimenticio y/o de consumo humano"	"Yucatán"	"Valladolid"	"Pb"	"Plomo (Compuestos solubles)"	"Kg"	0	0	1.8201	0	0	0	0	0	0	0	0
"AAE0901700310"	"AEROPLASA AEROPUERTO SA DE CV,"	"Otros"	"Ciudad de México"	"Venustiano Carranza"	"7439-97-6"	"Mercurio (polvos, respirables, vapores o humos)"	"Kg"	0	0	0	0	13	0	0	0	0	0	0
"AAL1512102650"	"ALMEXA ALUMINIO SA DE CV,"	"Cemento y Cal"	"México"	"Cuautitlán Izcalli"	"Cd"	"Cadmio (Compuestos solubles)"	"Kg"	0	0	0	0	3	0	0	6	1.5372	0	0
"AAL1512102650"	"ALMEXA ALUMINIO SA DE CV,"	"Cemento y Cal"	"México"	"Cuautitlán Izcalli"	"Cr"	"Cromo (Compuestos solubles)"	"Kg"	0	0	0	0	0	0	0	0	4.2121	0	0
"AAL1512102650"	"ALMEXA ALUMINIO SA DE CV,"	"Cemento y Cal"	"México"	"Cuautitlán Izcalli"	"HFCs"	"Hidrofluorocarbonos"	"Kg"	10860	0	0	0	0	0	0	0	0	0	0
"AAL1512102650"	"ALMEXA ALUMINIO SA DE CV,"	"Cemento y Cal"	"México"	"Cuautitlán Izcalli"	"Ni"	"Níquel (Compuestos solubles)"	"Kg"	0	0	0	0	4	0	0	7.5	12.8108	0	0
"AAL1512102650"	"ALMEXA ALUMINIO SA DE CV,"	"Cemento y Cal"	"México"	"Cuautitlán Izcalli"	"Pb"	"Plomo (Compuestos solubles)"	"Kg"	0	0	0	0	0	0	0	0	9.2237	0	0
"AAL1512102650"	"ALMEXA ALUMINIO SA DE CV,"	"Cemento y Cal"	"México"	"Cuautitlán Izcalli"	"124-38-9"	"Bióxido de carbono"	"Kg"	23415936	0	0	0	0	0	0	0	0	0	0
