"NRA"	"NOMBRE"	"SECTOR"	"ESTADO"	"MUNICIPIO"	"CAS"	"SUSTANCIA"	"UNIDAD"	"AIRE"	"AGUA"	"SUELO"	"REUTILIZACIÓN"	"RECICLADO"	"COPROCESAMIENTO"	"TRATAMIENTO"	"DISPOSICIÓN
FINAL"	"ALCANTARILLADO"	"INCINERACIÓN"	"OTROS"
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"7439-97-6"	"Mercurio"	"kg"	0	0	0.00000669775	0	0	0	0	0	0	0	0
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"57-12-5"	"Cianuro inorgánico/orgánico"	"kg"	0	0	0.00003348875	0	0	0	0	0	0	0	0
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"S/C6"	"Plomo (compuestos)"	"kg"	0	0	0.000669775	0	0	0	0	0	0	0	0
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"S/C5"	"Níquel (compuestos)"	"kg"	0	0	0.000401865	0	0	0	0	0	0	0	0
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"S/C3"	"Cromo (compuestos)"	"kg"	0	0	0.0003348875	0	0	0	0	0	0	0	0
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"7440-38-2"	"Arsénico"	"kg"	0	0	0.000053582	0	0	0	0	0	0	0	0
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"7440-43-9"	"Cadmio"	"kg"	0	0	0.000133955	0	0	0	0	0	0	0	0
"AAC0803700160"	"EDITH ALVARADO CHAVARIN"	"Metalurgica (incluye la siderurgica)"	"CHIHUAHUA"	"Juarez"	"124-38-9"	"Bióxido de carbono"	"ton"	1.67092	0	0	0	0	0	0	0	0	0	0
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"124-38-9"	"Bióxido de carbono"	"ton"	9.502296	0	0	0	0	0	0	0	0	0	0
"AAL1000700012"	"AUTOS ALAMEDA S.A. DE C.V."	"Otros"	"DURANGO"	"Gomez Palacio"	"S/C6"	"Plomo (compuestos)"	"kg"	0	0	0	0	425	0	0	0	0	0	0
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"57-12-5"	"Cianuro inorgánico/orgánico"	"kg"	0	0	0	0	0	0	0	0	0.950075	0	0
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"S/C2"	"Cadmio (compuestos)"	"kg"	0	0	0	0	0	0	0	0	0.2850225	0	0
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"S/C5"	"Níquel (compuestos)"	"kg"	0	0	0	0	0	0	0	0	9.50075	0	0
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"S/C4"	"Mercurio (compuestos)"	"kg"	0	0	0	0	0	0	0	0	0.076006	0	0
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"S/C3"	"Cromo (compuestos)"	"kg"	0	0	0	0	0	0	0	0	3.8003	0	0
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"62-53-3"	"Anilina"	"kg"	0	0	0	0	0	810	0	0	0	0	0
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"S/C1"	"Arsénico (compuestos)"	"kg"	0	0	0	0	0	0	0	0	0.152012	0	0
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"S/C6"	"Plomo (compuestos)"	"kg"	0	0	0	0	0	0	0	0	7.6006	0	0
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V"	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"S/C5"	"Níquel (compuestos)"	"kg"	0	4.17025	0	0	0	0	0	0	0	0	0
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V"	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"S/C3"	"Cromo (compuestos)"	"kg"	0	174.17025	0	0	0	0	0	0	0	0	0
