"NRA"	"NOMBRE"	"SECTOR"	"ESTADO"	"MUNICIPIO"	"CAS"	"SUSTANCIA"	"UNIDAD"	"AIRE"	"AGUA"	"SUELO"	"REUTILIZACIÓN"	"RECICLADO"	"COPROCESAMIENTO"	"TRATAMIENTO"	"DISPOSICIÓN
FINAL"	"ALCANTARILLADO"	"INCINERACIÓN"	"OTROS"
"AAG8A1403911"	"JESUS ALVARADO GARCIA"	"Quimica"	"JALISCO"	"Guadalajara"	"Cr"	"Cromo (compuestos)"	"Kg"	1.95	0.00252	0	0	0	0	0	0	0	0	0
"AAG8A1403911"	"JESUS ALVARADO GARCIA"	"Quimica"	"JALISCO"	"Guadalajara"	"Ni"	"Níquel (compuestos)"	"Kg"	6.78	0.0063	0	0	0	0	0	0	0	0	0
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"Cr"	"Cromo (compuestos)"	"Kg"	0	2.06178	0	0	0	0	0	0	0	0	0
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"Hg"	"Mercurio (compuestos)"	"Kg"	0	0.009818	0	0	0	0	0	0	0	0	0
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"Ni"	"Níquel (compuestos)"	"Kg"	0	1.924328	0	0	0	0	0	0	0	0	0
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"Pb"	"Plomo (compuestos)"	"Kg"	0	1.9636	0	0	0	0	0	0	0	0	0
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"57-12-5"	"Cianuro inorgánico/orgánico"	"Kg"	0	0.2218868	0	0	0	0	0	0	0	0	0
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"7440-38-2"	"Arsénico"	"Kg"	0	0.53999	0	0	0	0	0	0	0	0	0
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"7440-43-9"	"Cadmio"	"Kg"	0	0.39272	0	0	0	0	0	0	0	0	0
"AAM520803711"	"ASO AMERICAS, S. DE R.L. DE C.V."	"Articulos y productos compuestos de diferentes materiales"	"CHIHUAHUA"	"Juarez"	"124-38-9"	"Bióxido de carbono"	"Kg"	30.765	0	0	0	0	0	0	0	0	0	0
"AAM8V0800511"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos"	"CHIHUAHUA"	"Ascension"	"124-38-9"	"Bióxido de carbono"	"Kg"	41.9578	0	0	0	0	0	0	0	0	0	0
"AAM8V0803711"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE.C.V.PLANTA 1"	"Equipos y articulos electronicos, electricos y domesticos"	"CHIHUAHUA"	"Juarez"	"124-38-9"	"Bióxido de carbono"	"Kg"	9719.6968	0	0	0	0	0	0	0	0	0	0
"AAM8V0803712"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V. PLANTA 2"	"Equipos y articulos electronicos, electricos y domesticos"	"CHIHUAHUA"	"Juarez"	"124-38-9"	"Bióxido de carbono"	"Kg"	10915.2	0	0	0	0	0	0	0	0	0	0
"AAM8V0805012"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos"	"CHIHUAHUA"	"Nuevo Casas Grandes"	"124-38-9"	"Bióxido de carbono"	"Kg"	49378.9	0	0	0	0	0	0	0	0	0	0
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"Automotriz"	"GUANAJUATO"	"Silao"	"Cr"	"Cromo (compuestos)"	"Kg"	0	0.008244	0	0	0	0	0	0	0	0	0
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"Automotriz"	"GUANAJUATO"	"Silao"	"Hg"	"Mercurio (compuestos)"	"Kg"	0	0.00014427	0	0	0	0	0	0	0	0	0
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"Automotriz"	"GUANAJUATO"	"Silao"	"Pb"	"Plomo (compuestos)"	"Kg"	0	0.1837785375	0	0	1267	0	0	0	0	0	0
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"Automotriz"	"GUANAJUATO"	"Silao"	"124-38-9"	"Bióxido de carbono"	"Kg"	10344161.7	0	0	0	0	0	0	0	0	0	0
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"Automotriz"	"GUANAJUATO"	"Silao"	"57-12-5"	"Cianuro inorgánico/orgánico"	"Kg"	0	0.00129100925	0	0	0	0	0	0	0	0	0
