anio	cas	em_agua	em_aire	em_suelo	estado	gruposustancia	municipio	nombre	nra	sector	sustancia	tr_alcantarillado	tr_coprocesamiento	tr_dispfinal	tr_incineracion	tr_otros	tr_reciclado	tr_reutilizacion	tr_tratamiento	unidad
2004	S/C4	1.29e-09			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	TALLER DE REHABILITACIÓN DE TAMBORES AMADOR DÍAZ BONIFACIO	AADEA1500211	Servicios de apoyo a los negocios, manejo de residuos peligrosos (no incluye tratamiento) y servicios de remediación	Mercurio (compuestos)									ton/año
2004	57-12-5	1.32e-09			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	TALLER DE REHABILITACIÓN DE TAMBORES AMADOR DÍAZ BONIFACIO	AADEA1500211	Servicios de apoyo a los negocios, manejo de residuos peligrosos (no incluye tratamiento) y servicios de remediación	Cianuro inorgánico/orgánico									ton/año
2004	7440-38-2	1.2e-10			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	TALLER DE REHABILITACIÓN DE TAMBORES AMADOR DÍAZ BONIFACIO	AADEA1500211	Servicios de apoyo a los negocios, manejo de residuos peligrosos (no incluye tratamiento) y servicios de remediación	Arsénico									ton/año
2004	57-12-5	1.38e-06			JALISCO	Atributo no considerado en este año	Atributo no considerado en este año	ALVARADO GARCIA JESUS	AAG8A1403911	Quimica	Cianuro inorgánico/orgánico									ton/año
2004	S/C4	1.26e-06			JALISCO	Atributo no considerado en este año	Atributo no considerado en este año	ALVARADO GARCIA JESUS	AAG8A1403911	Quimica	Mercurio (compuestos)									ton/año
2004	7440-38-2	2.46e-06			JALISCO	Atributo no considerado en este año	Atributo no considerado en este año	ALVARADO GARCIA JESUS	AAG8A1403911	Quimica	Arsénico									ton/año
2004	57-12-5	6.75e-05			AGUASCALIENTES	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica) 	Cianuro inorgánico/orgánico	6.75e-05								ton/año
2004	7439-97-6				AGUASCALIENTES	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica) 	Mercurio	2.97e-07								ton/año
2004	7440-38-2	3.132e-06			AGUASCALIENTES	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica) 	Arsénico	3.132e-06								ton/año
2004	S/C4	2.97e-07			AGUASCALIENTES	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AAGND0100511	Metalurgica (incluye la siderurgica) 	Mercurio (compuestos)									ton/año
2004	7440-38-2	1.863e-09			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO S.A. DE C.V.	AAL7Q1510911	Metalurgica (incluye la siderurgica) 	Arsénico									ton/año
2004	57-12-5	0.002			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO S.A. DE C.V.	AAL7Q1510911	Metalurgica (incluye la siderurgica) 	Cianuro inorgánico/orgánico									ton/año
2004	S/C4	1.863e-09			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO S.A. DE C.V.	AAL7Q1510911	Metalurgica (incluye la siderurgica) 	Mercurio (compuestos)									ton/año
2004	S/C6	0.018			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO S.A. DE C.V.	AAL7Q1510911	Metalurgica (incluye la siderurgica) 	Plomo (compuestos)									ton/año
